Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 162680832, 39718, 8675.14
1, 745127936, 142199, 6964.78
2, 1489702912, 181781, 5433.93
3, 1971331072, 117585, 8437.76
4, 2248749056, 67729, 17073.00
5, 2367000576, 28870, 28988.43
6, 2513305600, 35719, 28036.00
7, 2649698304, 33299, 29853.74
8, 2789629952, 34163, 29183.03
9, 2913382400, 30213, 33057.32
10, 3052896256, 34061, 29258.84
11, 3182751744, 31703, 31494.75
12, 3313852416, 32007, 31176.39
13, 3484524544, 41668, 23903.34
14, 3699785728, 52554, 18959.53
15, 3902521344, 49496, 20134.26
16, 4073025536, 41627, 23956.32
17, 4219367424, 35728, 27924.44
18, 4365819904, 35755, 27902.30
19, 4524859392, 38828, 25707.61
20, 4635869184, 27102, 36778.25
21, 4726865920, 22216, 44938.60
22, 4822474752, 23342, 42823.77
23, 4916805632, 23030, 43315.09
24, 5008928768, 22491, 44375.90
25, 5098799104, 21941, 45594.66
26, 5185843200, 21251, 46935.80
27, 5284786176, 24156, 41291.19
28, 5376655360, 22429, 44588.82
29, 5473984512, 23762, 41967.37
30, 5572694016, 24099, 41480.43
31, 5674057728, 24747, 40273.87
32, 5811089408, 33455, 29818.24
33, 5967839232, 38269, 26090.47
34, 6103670784, 33162, 30049.68
35, 6252249088, 36274, 27542.90
36, 6394613760, 34757, 28673.44
37, 6544318464, 36549, 27276.96
38, 6695813120, 36986, 26987.26
39, 6852595712, 38277, 26043.37
40, 7013302272, 39235, 25417.16
41, 7170564096, 38394, 25991.13
42, 7327629312, 38346, 25995.92
43, 7505256448, 43366, 22993.31
44, 7675953152, 41674, 23923.01
45, 7848022016, 42009, 23750.73
46, 8059543552, 51641, 19284.18
47, 8273260544, 52177, 19139.53
48, 8525078528, 61479, 16165.04
49, 8772100096, 60308, 16507.13
50, 9018298368, 60107, 16565.71
51, 9313263616, 72013, 13818.96
52, 9651064832, 82471, 12066.33
53, 9663676416, 18845, 52899.59
54, 9663676416, 16104, 61977.23
55, 9663676416, 18523, 53897.66
56, 9663676416, 17592, 56707.04
57, 9663676416, 11549, 86549.53
58, 9663676416, 14555, 68569.92
59, 9663676416, 17601, 56658.23
60, 9663676416, 16023, 62361.55
61, 9663676416, 16440, 60668.05
62, 9663676416, 12960, 77019.23
63, 9663676416, 18008, 55408.28
64, 9663676416, 19096, 52245.11
65, 9663676416, 17984, 55483.42
66, 9663676416, 20776, 48069.40
67, 9663676416, 18615, 53565.98
68, 9663676416, 20641, 48290.37
69, 9663676416, 19472, 51233.83
70, 9663676416, 18088, 55231.89
71, 9663676416, 17928, 55588.82
72, 9663676416, 18648, 53535.23
73, 9663676416, 19464, 51252.42
74, 9663676416, 18736, 53295.72
75, 9663676416, 18176, 54820.25
76, 9663676416, 23328, 42766.55
77, 9663676416, 23432, 42546.36
78, 9663676416, 18539, 53823.91
79, 9663676416, 17301, 57539.71
80, 9663676416, 19344, 51515.75
81, 9663676416, 20835, 47822.56
82, 9663676416, 21605, 46144.09
83, 9663676416, 20452, 48797.23
84, 9663676416, 13903, 71771.24
85, 9663676416, 16045, 62190.04
86, 9663676416, 14552, 68612.07
87, 9663676416, 14628, 68213.36
88, 9663676416, 18522, 53891.22
89, 9663676416, 12442, 80218.47
90, 9663676416, 19773, 50427.66
91, 9663676416, 17299, 57686.52
92, 9663676416, 19520, 51103.80
93, 9663676416, 65850, 14965.95
94, 9663676416, 205689, 4683.64
95, 9663676416, 16733, 59820.16
96, 9663676416, 18768, 53029.03
97, 9663676416, 17864, 55860.32
98, 9663676416, 15592, 63889.03
99, 9663676416, 12808, 77916.77
100, 9663676416, 12888, 77471.22
101, 9663676416, 14833, 67245.28
102, 9663676416, 14015, 71173.22
103, 9663676416, 13664, 73073.96
104, 9663676416, 12760, 78292.38
105, 9663676416, 12320, 80882.58
106, 9663676416, 11385, 87651.29
107, 9663676416, 11543, 86582.25
108, 9663676416, 12400, 80403.05
109, 9663676416, 11776, 84942.98
110, 9663676416, 13904, 71575.63
111, 9663676416, 15640, 63760.39
112, 9663676416, 13680, 72916.77
113, 9663676416, 14232, 70108.37
114, 9663676416, 14745, 67616.56
115, 9663676416, 14911, 66876.05
116, 9663676416, 16082, 62015.72
117, 9663676416, 15710, 63471.61
118, 9663676416, 15512, 64332.16
119, 9663676416, 16696, 59850.26
120, 9663676416, 17872, 55763.20
121, 9663676416, 16469, 60596.50
122, 9663676416, 17515, 56994.69
123, 9663676416, 18240, 54682.00
124, 9663676416, 15744, 63400.65
125, 9663676416, 13856, 72207.57
126, 9663676416, 13704, 72714.95
127, 9663676416, 14360, 69494.74
128, 9663676416, 14464, 69059.79
129, 9663676416, 15296, 65179.00
130, 9663676416, 13968, 71476.99
131, 9663676416, 12592, 79316.85
132, 9663676416, 23616, 42250.35
133, 9663676416, 24408, 40737.66
134, 9663676416, 30635, 32498.84
135, 9663676416, 23709, 42097.54
136, 9663676416, 13944, 71602.42
137, 9663676416, 16946, 58841.92
138, 9663676416, 30590, 32525.23
139, 9663676416, 44488, 22355.83
140, 9663676416, 39194, 25388.07
141, 9663676416, 33902, 29376.37
142, 9663676416, 45544, 21837.35
143, 9663676416, 45608, 21807.37
144, 9663676416, 46672, 21307.68
145, 9663676416, 45512, 21855.68
146, 9663676416, 46760, 21261.78
147, 9663676416, 47774, 20809.13
148, 9663676416, 48662, 20428.87
149, 9663676416, 46764, 21265.61
150, 9663676416, 50472, 19693.21
151, 9663676416, 50272, 19772.71
152, 9663676416, 51159, 19424.60
