Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 473595904, 115625, 2872.54
1, 1890070528, 345819, 2835.72
2, 3135254528, 304000, 3231.81
3, 3751485440, 150447, 6579.80
4, 4114944000, 88735, 13391.15
5, 4262723584, 36079, 22301.98
6, 4418355200, 37996, 26220.46
7, 4572758016, 37696, 26445.75
8, 4733251584, 39183, 25464.41
9, 4875063296, 34622, 28793.72
10, 5035675648, 39212, 25430.81
11, 5196496896, 39263, 25425.08
12, 5347241984, 36803, 27102.84
13, 5506682880, 38926, 25585.93
14, 5713641472, 50527, 19771.98
15, 5859459072, 35600, 27953.54
16, 5997629440, 33733, 29583.96
17, 6187970560, 46470, 21439.36
18, 6375428096, 45766, 21774.24
19, 6559784960, 45009, 22146.95
20, 6696751104, 33439, 29834.19
21, 6858067968, 39384, 25319.13
22, 7021760512, 39964, 24986.04
23, 7185633280, 40008, 24889.38
24, 7351504896, 40496, 24628.73
25, 7515455488, 40027, 24911.25
26, 7692812288, 43300, 23027.37
27, 7831265280, 33802, 29484.57
28, 7976914944, 35559, 28052.12
29, 8135700480, 38766, 25719.80
30, 8299646976, 40026, 24909.64
31, 8452878336, 37410, 26668.89
32, 8593190912, 34256, 29097.41
33, 8719380480, 30808, 32488.84
34, 8870498304, 36894, 26953.72
35, 9029701632, 38868, 25636.25
36, 9193738240, 40048, 24899.87
37, 9366818816, 42256, 23593.27
38, 9556762624, 46373, 21508.43
39, 9663676416, 117467, 8406.58
40, 9663676416, 19482, 51142.14
41, 9663676416, 17085, 58352.35
42, 9663676416, 17899, 55716.28
43, 9663676416, 14482, 68875.38
44, 9663676416, 15783, 63191.94
45, 9663676416, 16176, 61655.31
46, 9663676416, 17583, 56707.94
47, 9663676416, 14422, 69220.51
48, 9663676416, 15948, 62472.46
49, 9663676416, 17079, 58372.99
50, 9663676416, 17493, 56997.87
51, 9663676416, 17275, 57733.64
52, 9663676416, 18413, 54151.90
53, 9663676416, 20729, 48075.43
54, 9663676416, 21745, 45804.05
55, 9663676416, 89282, 11077.42
56, 9663676416, 29888, 33294.40
57, 9663676416, 29216, 34068.01
58, 9663676416, 29264, 34019.08
59, 9663676416, 28925, 34380.34
60, 9663676416, 22803, 43732.10
61, 9663676416, 28768, 34554.31
62, 9663676416, 27661, 35983.61
63, 9663676416, 26163, 38075.24
64, 9663676416, 24115, 41295.87
65, 9663676416, 26381, 37766.85
66, 9663676416, 26464, 37612.02
67, 9663676416, 25672, 38823.66
68, 9663676416, 27736, 35955.59
69, 9663676416, 26159, 38081.03
70, 9663676416, 23513, 42449.62
71, 9663676416, 25856, 38520.67
72, 9663676416, 27720, 35974.19
73, 9663676416, 25976, 38375.23
74, 9663676416, 23048, 43293.08
75, 9663676416, 20360, 48953.29
76, 9663676416, 19080, 52290.86
77, 9663676416, 15928, 62578.56
78, 9663676416, 27208, 36581.91
79, 9663676416, 20463, 48674.93
80, 9663676416, 17566, 56824.24
81, 9663676416, 17027, 58607.27
82, 9663676416, 18096, 55096.71
83, 9663676416, 15817, 63108.03
84, 9663676416, 21642, 46074.00
85, 9663676416, 22982, 43338.00
86, 9663676416, 20806, 47893.96
87, 9663676416, 18335, 54366.06
88, 9663676416, 19322, 51724.05
89, 9663676416, 20480, 48623.98
90, 9663676416, 19831, 50262.53
91, 9663676416, 15318, 65193.13
92, 9663676416, 16202, 61519.28
93, 9663676416, 15388, 64801.71
94, 9663676416, 16149, 61844.54
95, 9663676416, 16376, 60956.26
96, 9663676416, 17134, 58297.70
97, 9663676416, 16282, 61066.16
98, 9663676416, 12480, 79969.57
99, 9663676416, 14088, 70733.01
100, 9663676416, 16344, 61123.24
101, 9663676416, 13421, 74211.98
102, 9663676416, 12531, 79736.92
103, 9663676416, 20008, 49742.71
104, 9663676416, 15656, 63738.79
105, 9663676416, 12856, 77543.25
106, 9663676416, 12179, 82087.35
107, 9663676416, 11045, 90342.70
108, 9663676416, 11736, 85100.57
109, 9663676416, 10863, 91836.78
110, 9663676416, 13433, 74329.68
111, 9663676416, 13216, 75546.25
112, 9663676416, 11920, 83785.13
113, 9663676416, 12208, 81803.41
114, 9663676416, 13448, 74226.08
115, 9663676416, 16248, 61445.80
116, 9663676416, 15728, 63445.40
117, 9663676416, 15736, 63429.25
118, 9663676416, 14168, 70463.18
119, 9663676416, 14000, 71267.73
120, 9663676416, 16369, 60919.63
121, 9663676416, 15061, 66313.44
122, 9663676416, 14246, 69958.64
123, 9663676416, 14356, 69471.15
124, 9663676416, 14942, 66880.29
125, 9663676416, 14266, 69890.27
126, 9663676416, 15440, 64563.78
127, 9663676416, 14289, 69847.82
128, 9663676416, 16473, 60593.96
129, 9663676416, 12278, 81243.31
130, 9663676416, 12750, 78202.03
131, 9663676416, 13442, 74235.87
132, 9663676416, 24736, 40358.01
133, 9663676416, 24648, 40362.13
134, 9663676416, 29686, 33550.87
135, 9663676416, 23740, 42037.78
136, 9663676416, 14558, 68485.53
137, 9663676416, 12972, 76978.56
138, 9663676416, 33516, 29671.54
139, 9663676416, 49952, 19897.96
140, 9663676416, 76576, 12972.55
141, 9663676416, 36949, 26906.41
142, 9663676416, 49076, 20263.83
143, 9663676416, 49269, 20177.75
