Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 10190848, 2489, 219531.50
1, 101523456, 22298, 44598.27
2, 225456128, 30257, 32981.74
3, 343904256, 28918, 34972.07
4, 417435648, 17952, 54898.45
5, 466067456, 11873, 84155.80
6, 508706816, 10410, 103243.93
7, 593362944, 20668, 44695.76
8, 686751744, 22800, 43769.79
9, 790323200, 25286, 39561.61
10, 911405056, 29561, 33843.36
11, 1032609792, 29591, 33550.50
12, 1150427136, 28764, 34745.11
13, 1270718464, 29368, 33929.64
14, 1380270080, 26746, 37333.27
15, 1503047680, 29975, 33276.32
16, 1623658496, 29446, 33991.03
17, 1735114752, 27211, 36565.96
18, 1848860672, 27770, 36058.96
19, 1973542912, 30440, 32756.83
20, 2098475008, 30501, 32672.96
21, 2218487808, 29300, 34020.20
22, 2338041856, 29188, 34233.28
23, 2415919104, 22518, 44338.41
24, 2415919104, 6552, 152462.22
25, 2415919104, 4512, 221541.32
26, 2415919104, 5184, 192834.87
27, 2415919104, 6144, 162230.45
28, 2415919104, 7536, 132741.07
29, 2415919104, 6600, 151410.69
30, 2415919104, 6304, 158516.43
31, 2415919104, 8632, 115502.33
32, 2415919104, 15712, 63498.33
33, 2415919104, 15192, 65742.45
34, 2415919104, 14080, 70778.91
35, 2415919104, 14048, 71112.55
36, 2415919104, 14960, 66537.26
37, 2415919104, 13848, 72226.58
38, 2415919104, 13784, 72245.28
39, 2415919104, 14688, 67933.75
40, 2415919104, 13768, 72619.10
41, 2415919104, 13220, 75351.40
42, 2415919104, 13540, 73897.66
43, 2415919104, 15224, 65397.57
44, 2415919104, 14280, 69889.09
45, 2415919104, 15248, 65424.88
46, 2415919104, 15912, 62702.71
47, 2415919104, 14720, 67987.24
48, 2415919104, 13888, 71751.22
49, 2415919104, 12915, 77156.94
50, 2415919104, 14589, 68443.43
51, 2415919104, 15920, 62700.34
52, 2415919104, 13528, 73902.41
53, 2415919104, 14896, 66821.28
54, 2415919104, 14145, 70519.42
55, 2415919104, 14767, 67580.99
56, 2415919104, 14144, 70706.13
57, 2415919104, 15456, 64620.36
58, 2415919104, 14824, 67143.84
59, 2415919104, 14481, 68863.88
60, 2415919104, 15487, 64549.95
61, 2415919104, 15072, 66144.41
62, 2415919104, 15728, 63374.75
63, 2415919104, 16024, 62269.62
64, 2415919104, 17128, 58236.91
65, 2415919104, 20160, 49553.37
66, 2415919104, 9560, 104165.66
