Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 13873152, 3388, 146209.75
1, 219881472, 50295, 19818.01
2, 444760064, 54902, 18146.35
3, 586616832, 34633, 28788.86
4, 666312704, 19457, 51345.99
5, 726679552, 14738, 67761.82
6, 785235968, 14296, 93346.08
7, 842158080, 13897, 47766.53
8, 891568128, 12063, 82798.72
9, 989044736, 23798, 41955.46
10, 1057165312, 16631, 60061.63
11, 1140981760, 20463, 48831.91
12, 1232482304, 22339, 44868.21
13, 1316728832, 20568, 48377.45
14, 1407787008, 22231, 44918.74
15, 1485815808, 19050, 52614.96
16, 1587474432, 24819, 40121.44
17, 1684672512, 23730, 42112.92
18, 1780908032, 23495, 42378.31
19, 1876000768, 23216, 42984.22
20, 1971310592, 23269, 42965.03
21, 2069073920, 23868, 41740.39
22, 2174664704, 25779, 38725.40
23, 2261692416, 21247, 47072.05
24, 2358124544, 23543, 42363.73
25, 2415919104, 16279, 61316.15
26, 2415919104, 6349, 157913.19
27, 2415919104, 5526, 180121.55
28, 2415919104, 5733, 174510.71
29, 2415919104, 6384, 156943.44
30, 2415919104, 5944, 167373.19
31, 2415919104, 7976, 125290.30
32, 2415919104, 13352, 74796.77
33, 2415919104, 12024, 82993.03
34, 2415919104, 12229, 81531.89
35, 2415919104, 11307, 88203.05
36, 2415919104, 13920, 71717.71
37, 2415919104, 13544, 73609.38
38, 2415919104, 12640, 78981.71
39, 2415919104, 12968, 77000.00
40, 2415919104, 14360, 69497.31
41, 2415919104, 12456, 80054.93
42, 2415919104, 11968, 83524.55
43, 2415919104, 12392, 80420.71
44, 2415919104, 13016, 76679.60
45, 2415919104, 13520, 73802.33
46, 2415919104, 12032, 82987.88
47, 2415919104, 11632, 86043.46
48, 2415919104, 11528, 86304.93
49, 2415919104, 12064, 82853.22
50, 2415919104, 14040, 71088.45
51, 2415919104, 13216, 75413.61
52, 2415919104, 13416, 74394.65
53, 2415919104, 11680, 85454.33
54, 2415919104, 13320, 74908.19
55, 2415919104, 12808, 77847.63
56, 2415919104, 11704, 85378.98
57, 2415919104, 12696, 78691.33
58, 2415919104, 12624, 78913.60
59, 2415919104, 11882, 83974.71
60, 2415919104, 11486, 87079.81
61, 2415919104, 13080, 76198.40
62, 2415919104, 12456, 80258.47
63, 2415919104, 12440, 80038.46
64, 2415919104, 10626, 93891.60
65, 2415919104, 12758, 78354.10
66, 2415919104, 19592, 50654.77
67, 2415919104, 25464, 39054.22
68, 2415919104, 28872, 34390.64
69, 2415919104, 40586, 24489.94
