Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 30380032, 7418, 83480.75
1, 58449920, 6853, 145817.21
2, 134758400, 18630, 53599.15
3, 332251136, 48216, 20673.14
4, 398704640, 16224, 61722.81
5, 456278016, 14056, 70893.19
6, 513175552, 13891, 71945.48
7, 591941632, 19230, 51947.46
8, 684720128, 22651, 44087.88
9, 740974592, 13734, 72688.97
10, 791588864, 12357, 81709.71
11, 857292800, 16041, 61622.63
12, 966815744, 26739, 37368.52
13, 1048207360, 19871, 50247.19
14, 1116880896, 16766, 59590.13
15, 1207656448, 22162, 45068.39
16, 1301532672, 22919, 43594.58
17, 1383251968, 19951, 49908.98
18, 1463083008, 19490, 51506.96
19, 1561165824, 23946, 41471.46
20, 1650466816, 21802, 46014.64
21, 1741070336, 22120, 44949.02
22, 1839394816, 24005, 41603.02
23, 1923072000, 20429, 49062.46
24, 2020601856, 23811, 41776.68
25, 2138923008, 28887, 34503.78
26, 2260652032, 29719, 33558.89
27, 2399432704, 33882, 29442.99
28, 2415919104, 10740, 92958.65
29, 2415919104, 6347, 157838.26
30, 2415919104, 6340, 157336.08
31, 2415919104, 7255, 137581.91
32, 2415919104, 14344, 69665.73
33, 2415919104, 12032, 82975.42
34, 2415919104, 12600, 79091.92
35, 2415919104, 12032, 83178.88
36, 2415919104, 12256, 81212.10
37, 2415919104, 13008, 76738.72
38, 2415919104, 11672, 85448.90
39, 2415919104, 12336, 80919.65
40, 2415919104, 11864, 84162.69
41, 2415919104, 13016, 76642.55
42, 2415919104, 12848, 77885.03
43, 2415919104, 12824, 77589.41
44, 2415919104, 13664, 73018.48
45, 2415919104, 12840, 78136.10
46, 2415919104, 12247, 81016.89
47, 2415919104, 12641, 78957.04
48, 2415919104, 11824, 84556.05
49, 2415919104, 12168, 81990.97
50, 2415919104, 12208, 81698.78
51, 2415919104, 12608, 79136.26
52, 2415919104, 11216, 88949.35
53, 2415919104, 12760, 78203.56
54, 2415919104, 13128, 76013.46
55, 2415919104, 12384, 80598.82
56, 2415919104, 12120, 82444.24
57, 2415919104, 11584, 86181.39
58, 2415919104, 12344, 80738.62
59, 2415919104, 12776, 78151.46
60, 2415919104, 12903, 77340.22
61, 2415919104, 11673, 85603.51
62, 2415919104, 11966, 83296.79
63, 2415919104, 13122, 76058.15
64, 2415919104, 12144, 82185.58
65, 2415919104, 12000, 83381.00
66, 2415919104, 11647, 85272.22
67, 2415919104, 24206, 41050.63
68, 2415919104, 29459, 33744.38
69, 2415919104, 32728, 30411.60
70, 2415919104, 41168, 24167.32
