Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 12017664, 2935, 156254.32
1, 97349632, 20833, 47928.74
2, 204955648, 26271, 37982.70
3, 340455424, 33081, 30161.12
4, 413175808, 17754, 56267.60
5, 462270464, 11986, 83339.83
6, 507117568, 10949, 123274.16
7, 534847488, 6770, 96176.38
8, 604884992, 17099, 58299.50
9, 697958400, 22723, 44035.20
10, 777183232, 19342, 51672.89
11, 857169920, 19528, 51104.46
12, 933355520, 18600, 53711.67
13, 1023029248, 21893, 45510.84
14, 1110274048, 21300, 46884.76
15, 1187258368, 18795, 53091.58
16, 1276420096, 21768, 45856.26
17, 1374117888, 23852, 41828.47
18, 1476923392, 25099, 39814.21
19, 1575206912, 23995, 41585.36
20, 1671995392, 23630, 42353.62
21, 1774759936, 25089, 39649.71
22, 1875005440, 24474, 40848.20
23, 1974829056, 24371, 40914.20
24, 2081419264, 26023, 38342.29
25, 2197184512, 28263, 35350.60
26, 2320461824, 30097, 33103.19
27, 2415919104, 24938, 40040.40
28, 2415919104, 5752, 173942.73
29, 2415919104, 10248, 97411.49
30, 2415919104, 17984, 55358.92
31, 2415919104, 17360, 57506.30
32, 2415919104, 13552, 73598.28
33, 2415919104, 13072, 76451.57
34, 2415919104, 13704, 72628.97
35, 2415919104, 13440, 74354.52
36, 2415919104, 14288, 69836.05
37, 2415919104, 13936, 71491.69
38, 2415919104, 13576, 73758.82
39, 2415919104, 12272, 81206.70
40, 2415919104, 12496, 79761.43
41, 2415919104, 11980, 83221.10
42, 2415919104, 12956, 77103.34
43, 2415919104, 12840, 77641.56
44, 2415919104, 11960, 83496.47
45, 2415919104, 13272, 75170.76
46, 2415919104, 12688, 78694.67
47, 2415919104, 13280, 75293.23
48, 2415919104, 12610, 78951.87
49, 2415919104, 11886, 83940.58
50, 2415919104, 12664, 78788.13
51, 2415919104, 12376, 80647.20
52, 2415919104, 13128, 76004.31
53, 2415919104, 13712, 72766.65
54, 2415919104, 12640, 78950.42
55, 2415919104, 12973, 76906.56
56, 2415919104, 12323, 81529.79
57, 2415919104, 11720, 84853.84
58, 2415919104, 11784, 84527.10
59, 2415919104, 12392, 80592.28
60, 2415919104, 12260, 81396.60
61, 2415919104, 13228, 75350.75
62, 2415919104, 11776, 84701.84
63, 2415919104, 13064, 76361.47
64, 2415919104, 13728, 72656.24
65, 2415919104, 11760, 84944.36
66, 2415919104, 16768, 59356.03
67, 2415919104, 33408, 29765.17
68, 2415919104, 41080, 24186.98
