Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 96714752, 23613, 29882.05
1, 149200896, 12814, 77355.32
2, 251502592, 24976, 39960.82
3, 377495552, 30760, 32443.09
4, 444563456, 16374, 61009.29
5, 493850624, 12033, 83298.25
6, 545665024, 12650, 81688.68
7, 643457024, 23875, 40389.26
8, 743124992, 24333, 40880.18
9, 860291072, 28605, 34905.97
10, 965320704, 25642, 38916.39
11, 1048301568, 20259, 49339.24
12, 1128620032, 19609, 50928.44
13, 1191284736, 15299, 65204.92
14, 1250586624, 14478, 68953.26
15, 1310834688, 14709, 68188.55
16, 1381986304, 17371, 57506.70
17, 1476947968, 23184, 42914.36
18, 1592188928, 28135, 35506.76
19, 1707573248, 28170, 35364.80
20, 1821163520, 27732, 36099.90
21, 1931460608, 26928, 36948.34
22, 2051289088, 29255, 34137.88
23, 2159177728, 26340, 37902.32
24, 2266509312, 26204, 38064.93
25, 2383175680, 28483, 35113.57
26, 2415919104, 12515, 79702.69
27, 2415919104, 6176, 161596.19
28, 2415919104, 7328, 136254.37
29, 2415919104, 7424, 134557.77
30, 2415919104, 6632, 150788.66
31, 2415919104, 6288, 159300.07
32, 2415919104, 10616, 93819.01
33, 2415919104, 14888, 67013.84
34, 2415919104, 14720, 67775.95
35, 2415919104, 14800, 67439.21
36, 2415919104, 14512, 68841.28
37, 2415919104, 13864, 71859.37
38, 2415919104, 14272, 69847.22
39, 2415919104, 15616, 63904.51
40, 2415919104, 13864, 71968.65
41, 2415919104, 14344, 69581.29
42, 2415919104, 14816, 67393.06
43, 2415919104, 15320, 65105.64
44, 2415919104, 14160, 70431.78
45, 2415919104, 14912, 66900.75
46, 2415919104, 14552, 68570.02
47, 2415919104, 14840, 67328.09
48, 2415919104, 15136, 65838.86
49, 2415919104, 15376, 64973.38
50, 2415919104, 15152, 65723.63
51, 2415919104, 15728, 63505.54
52, 2415919104, 15592, 63946.71
53, 2415919104, 16264, 61424.14
54, 2415919104, 12896, 77240.63
55, 2415919104, 15336, 65061.65
56, 2415919104, 13048, 76563.58
57, 2415919104, 15600, 63996.22
58, 2415919104, 14096, 70685.28
59, 2415919104, 15624, 63995.39
60, 2415919104, 14488, 68729.30
61, 2415919104, 15176, 65729.77
62, 2415919104, 15256, 65404.12
63, 2415919104, 14192, 70317.58
64, 2415919104, 18992, 52490.79
65, 2415919104, 20712, 48126.41
66, 2415919104, 26496, 37509.78
