Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 63062016, 15397, 42158.78
1, 107417600, 10829, 93266.71
2, 308645888, 49128, 19899.12
3, 451616768, 34905, 28578.92
4, 530006016, 19138, 52246.31
5, 585195520, 13474, 74058.15
6, 634167296, 11956, 118329.15
7, 666324992, 7851, 74815.92
8, 733868032, 16490, 60401.28
9, 822788096, 21709, 46067.61
10, 910127104, 21323, 46712.80
11, 1000325120, 22021, 45338.94
12, 1069019136, 16771, 59612.00
13, 1124032512, 13431, 74552.73
14, 1191354368, 16436, 60793.53
15, 1282613248, 22280, 44738.41
16, 1384144896, 24788, 40249.43
17, 1484636160, 24534, 40617.37
18, 1586552832, 24882, 40195.34
19, 1687883776, 24739, 40320.55
20, 1787269120, 24264, 41166.48
21, 1876275200, 21730, 45910.76
22, 1977581568, 24733, 40387.85
23, 2077728768, 24450, 40797.52
24, 2158919680, 19822, 50333.95
25, 2241572864, 20179, 49567.62
26, 2337157120, 23336, 42713.57
27, 2415919104, 21046, 47522.38
28, 2415919104, 5608, 177893.20
29, 2415919104, 5792, 173032.59
30, 2415919104, 6448, 154276.79
31, 2415919104, 8560, 116676.51
32, 2415919104, 13776, 72557.42
33, 2415919104, 12928, 77166.97
34, 2415919104, 12670, 78635.48
35, 2415919104, 13806, 72614.74
36, 2415919104, 12788, 77714.50
37, 2415919104, 12000, 83250.31
38, 2415919104, 12296, 81037.36
39, 2415919104, 12808, 77969.15
40, 2415919104, 13616, 73341.86
41, 2415919104, 12648, 78990.80
42, 2415919104, 13280, 75119.29
43, 2415919104, 13064, 76164.43
44, 2415919104, 13184, 75706.84
45, 2415919104, 12816, 77880.97
46, 2415919104, 13168, 75773.94
47, 2415919104, 12632, 79543.26
48, 2415919104, 12664, 78263.94
49, 2415919104, 12200, 81909.46
50, 2415919104, 13800, 72233.20
51, 2415919104, 12555, 79486.24
52, 2415919104, 12773, 78185.13
53, 2415919104, 12641, 78910.83
54, 2415919104, 12423, 80624.32
55, 2415919104, 12599, 78846.69
56, 2415919104, 13465, 74492.32
57, 2415919104, 13216, 75092.96
58, 2415919104, 12544, 79579.65
59, 2415919104, 11680, 85504.19
60, 2415919104, 12112, 82565.50
61, 2415919104, 13176, 75570.34
62, 2415919104, 12144, 82120.32
63, 2415919104, 12600, 79044.34
64, 2415919104, 10544, 94660.21
65, 2415919104, 13122, 76202.17
66, 2415919104, 13782, 72144.77
67, 2415919104, 28048, 35392.52
68, 2415919104, 33796, 29388.11
69, 2415919104, 38076, 26114.08
