Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 153374720, 37446, 17630.96
1, 363700224, 51349, 19163.56
2, 497905664, 32765, 30455.15
3, 619282432, 29633, 33700.71
4, 683991040, 15798, 63226.41
5, 745725952, 15072, 66243.10
6, 793153536, 11579, 87180.39
7, 885788672, 22616, 43788.90
8, 1000353792, 27970, 35607.63
9, 1117155328, 28516, 35026.29
10, 1230991360, 27792, 35924.00
11, 1351262208, 29363, 33931.69
12, 1471135744, 29266, 34100.68
13, 1571799040, 24576, 40601.52
14, 1680338944, 26499, 37742.26
15, 1794662400, 27911, 35678.66
16, 1900949504, 25949, 38662.21
17, 2010234880, 26681, 37220.94
18, 2122739712, 27467, 36348.40
19, 2208002048, 20816, 48072.51
20, 2291126272, 20294, 49232.33
21, 2377994240, 21208, 46971.83
22, 2415919104, 13812, 72153.92
23, 2415919104, 8376, 119305.86
24, 2415919104, 6744, 148489.66
25, 2415919104, 4632, 214921.65
26, 2415919104, 4808, 207859.12
27, 2415919104, 6048, 165183.53
28, 2415919104, 6144, 162818.87
29, 2415919104, 5616, 178470.58
30, 2415919104, 5512, 180562.29
31, 2415919104, 8336, 119851.65
32, 2415919104, 14972, 66615.63
33, 2415919104, 14396, 69418.93
34, 2415919104, 14480, 68860.24
35, 2415919104, 14522, 68696.83
36, 2415919104, 13646, 73129.71
37, 2415919104, 13681, 72915.31
38, 2415919104, 14895, 67042.22
39, 2415919104, 14224, 70115.68
40, 2415919104, 13720, 72872.46
41, 2415919104, 15328, 64987.69
42, 2415919104, 14104, 70888.23
43, 2415919104, 13832, 72009.14
44, 2415919104, 14272, 69943.13
45, 2415919104, 15440, 64613.96
46, 2415919104, 14312, 69749.83
47, 2415919104, 14392, 69413.48
48, 2415919104, 15584, 64069.37
49, 2415919104, 13920, 71536.84
50, 2415919104, 16006, 62323.80
51, 2415919104, 14554, 68570.11
52, 2415919104, 15048, 66397.89
53, 2415919104, 15520, 64279.78
54, 2415919104, 14944, 66696.79
55, 2415919104, 14768, 67590.95
56, 2415919104, 15248, 65575.93
57, 2415919104, 15120, 65934.30
58, 2415919104, 14976, 66599.85
59, 2415919104, 14672, 68170.86
60, 2415919104, 14856, 67112.16
61, 2415919104, 15008, 66482.86
62, 2415919104, 14560, 68362.57
63, 2415919104, 15864, 62875.92
64, 2415919104, 17256, 57786.02
65, 2415919104, 19622, 50787.26
66, 2415919104, 11762, 84829.03
