Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 18468864, 4510, 115997.79
1, 69599232, 12483, 79713.52
2, 168394752, 24120, 41387.84
3, 293388288, 30516, 32703.90
4, 360538112, 16394, 61102.01
5, 409759744, 12017, 82913.92
6, 455950336, 11277, 126941.94
7, 490901504, 8533, 66458.92
8, 571285504, 19625, 50901.78
9, 626671616, 13522, 74061.52
10, 674979840, 11794, 84713.29
11, 765685760, 22145, 44953.44
12, 875700224, 26859, 37182.91
13, 944369664, 16765, 59531.10
14, 1022181376, 18997, 52655.64
15, 1092694016, 17215, 58042.00
16, 1164750848, 17592, 56951.00
17, 1256374272, 22369, 44409.46
18, 1345826816, 21839, 45817.47
19, 1443590144, 23868, 41768.95
20, 1536643072, 22718, 44121.01
21, 1613824000, 18843, 53640.34
22, 1696542720, 20195, 48622.72
23, 1790369792, 22907, 43623.10
24, 1878142976, 21429, 46538.22
25, 1978195968, 24427, 40881.24
26, 2096848896, 28968, 34475.85
27, 2223898624, 31018, 32173.26
28, 2415919104, 46957, 21182.08
29, 2415919104, 6300, 158574.97
30, 2415919104, 6696, 149475.73
31, 2415919104, 6296, 158737.73
32, 2415919104, 10304, 96857.45
33, 2415919104, 13480, 73931.54
34, 2415919104, 14848, 67201.39
35, 2415919104, 12992, 77055.31
36, 2415919104, 14992, 66482.32
37, 2415919104, 15256, 65301.98
38, 2415919104, 14064, 70908.84
39, 2415919104, 16488, 60569.10
40, 2415919104, 14928, 66771.24
41, 2415919104, 13416, 74376.72
42, 2415919104, 15720, 63635.96
43, 2415919104, 15067, 66046.92
44, 2415919104, 16452, 60636.41
45, 2415919104, 13721, 72729.56
46, 2415919104, 15528, 64258.47
47, 2415919104, 14976, 66753.63
48, 2415919104, 15560, 63990.14
49, 2415919104, 14504, 68851.72
50, 2415919104, 16096, 61919.62
51, 2415919104, 15032, 66424.60
52, 2415919104, 15216, 65502.68
53, 2415919104, 14944, 66772.23
54, 2415919104, 15210, 65602.77
55, 2415919104, 16470, 60571.07
56, 2415919104, 16256, 61575.66
57, 2415919104, 15344, 64796.65
58, 2415919104, 16424, 60765.92
59, 2415919104, 14584, 68418.20
60, 2415919104, 14880, 67168.71
61, 2415919104, 15760, 63179.90
62, 2415919104, 14664, 68084.44
63, 2415919104, 16784, 59386.05
64, 2415919104, 16608, 60030.97
65, 2415919104, 20968, 47539.48
66, 2415919104, 19704, 50562.86
67, 2415919104, 27136, 36645.06
