Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 93831168, 22909, 5531.65
1, 425762816, 81038, 12270.69
2, 803295232, 92171, 10779.74
3, 1178152960, 91518, 10858.00
4, 1300242432, 29807, 33503.88
5, 1432055808, 32181, 31017.45
6, 1551982592, 29279, 34037.69
7, 1680171008, 31296, 31951.65
8, 1810649088, 31855, 31243.03
9, 1938849792, 31299, 31878.24
10, 2062823424, 30267, 32966.46
11, 2183561216, 29477, 33875.06
12, 2302681088, 29082, 34314.22
13, 2422964224, 29366, 34005.95
14, 2543108096, 29332, 34006.39
15, 2666934272, 30231, 32978.01
16, 2778644480, 27273, 36583.02
17, 2890358784, 27274, 36826.63
18, 3012296704, 29770, 33295.96
19, 3132203008, 29274, 34082.38
20, 3250040832, 28769, 34720.05
21, 3371372544, 29622, 33682.24
22, 3491840000, 29411, 34065.13
23, 3613147136, 29616, 33605.14
24, 3741179904, 31258, 31860.12
25, 3871789056, 31887, 31260.10
26, 4005961728, 32757, 30514.69
27, 4137684992, 32159, 30963.48
28, 4273741824, 33217, 30059.47
29, 4422586368, 36339, 27459.08
30, 4553928704, 32066, 31113.76
31, 4694581248, 34339, 29044.75
32, 4831838208, 37503, 26590.29
33, 4831838208, 16424, 60659.89
34, 4831838208, 15192, 65717.88
35, 4831838208, 19440, 51309.83
36, 4831838208, 20648, 48272.62
37, 4831838208, 20416, 48815.17
38, 4831838208, 19616, 50888.18
39, 4831838208, 20816, 47972.50
40, 4831838208, 21504, 46381.08
41, 4831838208, 20752, 47960.67
42, 4831838208, 20864, 47803.18
43, 4831838208, 17592, 56835.38
44, 4831838208, 20624, 48344.96
45, 4831838208, 20992, 47484.41
46, 4831838208, 19640, 50713.52
47, 4831838208, 18776, 53111.59
48, 4831838208, 23328, 42747.26
49, 4831838208, 27336, 36404.17
50, 4831838208, 24520, 40666.91
51, 4831838208, 19608, 50797.72
52, 4831838208, 21048, 47345.58
53, 4831838208, 20832, 47871.57
54, 4831838208, 21448, 46475.09
55, 4831838208, 21733, 45865.21
56, 4831838208, 20171, 49446.89
57, 4831838208, 18517, 53858.78
58, 4831838208, 19867, 50216.93
59, 4831838208, 21695, 45907.15
60, 4831838208, 19600, 50896.36
61, 4831838208, 20121, 49579.21
62, 4831838208, 18448, 54075.10
63, 4831838208, 19320, 51625.38
64, 4831838208, 19880, 50327.46
65, 4831838208, 20376, 48806.68
66, 4831838208, 20384, 49038.64
67, 4831838208, 20568, 48531.90
68, 4831838208, 19836, 50141.75
69, 4831838208, 20791, 47942.95
70, 4831838208, 23112, 43087.09
71, 4831838208, 19981, 49888.02
72, 4831838208, 21560, 46269.38
73, 4831838208, 23648, 42103.62
74, 4831838208, 34848, 28544.70
75, 4831838208, 34688, 28660.20
76, 4831838208, 26672, 37361.48
77, 4831838208, 23160, 43012.97
78, 4831838208, 25352, 39309.48
79, 4831838208, 23128, 43087.44
80, 4831838208, 24648, 40540.01
81, 4831838208, 25720, 38668.89
82, 4831838208, 29392, 33865.35
83, 4831838208, 44416, 22371.00
