Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 2166784, 530, 14580.44
1, 286433280, 69401, 14449.55
2, 574586880, 70350, 14039.16
3, 831565824, 62739, 15871.45
4, 936673280, 25661, 38934.08
5, 1057251328, 29438, 33910.76
6, 1164070912, 26079, 38271.39
7, 1274974208, 27076, 37027.44
8, 1382162432, 26169, 37922.09
9, 1487679488, 25761, 38788.14
10, 1597685760, 26857, 37122.86
11, 1710252032, 27482, 36317.36
12, 1810722816, 24529, 40827.54
13, 1940414464, 31663, 31410.15
14, 2088878080, 36246, 27550.50
15, 2209067008, 29343, 33973.15
16, 2337681408, 31400, 31773.74
17, 2462969856, 30588, 32603.98
18, 2572042240, 26629, 37476.77
19, 2683461632, 27202, 36684.50
20, 2799706112, 28380, 35237.72
21, 2922278912, 29925, 33287.85
22, 3038498816, 28374, 35226.48
23, 3150503936, 27345, 36411.90
24, 3271163904, 29458, 33871.98
25, 3389390848, 28864, 34572.36
26, 3510951936, 29678, 33628.37
27, 3637772288, 30962, 32270.04
28, 3776520192, 33874, 29548.26
29, 3897065472, 29430, 33780.50
30, 4031594496, 32844, 30378.61
31, 4175405056, 35110, 28395.15
32, 4336553984, 39343, 25350.04
33, 4525948928, 46239, 21546.20
34, 4747366400, 54057, 18418.56
35, 4831838208, 35064, 28437.05
36, 4831838208, 21048, 47411.44
37, 4831838208, 19872, 50111.09
38, 4831838208, 20368, 48977.17
39, 4831838208, 20120, 49677.55
40, 4831838208, 19288, 51670.02
41, 4831838208, 19920, 49993.07
42, 4831838208, 20528, 48583.98
43, 4831838208, 19736, 50611.92
44, 4831838208, 19636, 50720.63
45, 4831838208, 20076, 49733.40
46, 4831838208, 21328, 46749.57
47, 4831838208, 21624, 46050.31
48, 4831838208, 22568, 44201.78
49, 4831838208, 17872, 55813.06
50, 4831838208, 16592, 60116.22
51, 4831838208, 17856, 55819.24
52, 4831838208, 18872, 52879.53
53, 4831838208, 19104, 52194.70
54, 4831838208, 22488, 44296.37
55, 4831838208, 18688, 53380.77
56, 4831838208, 19976, 49927.88
57, 4831838208, 21888, 45595.60
58, 4831838208, 20451, 48766.59
59, 4831838208, 18813, 52931.65
60, 4831838208, 19168, 52032.60
61, 4831838208, 19736, 50632.81
62, 4831838208, 19584, 50834.43
63, 4831838208, 21440, 46523.95
64, 4831838208, 20200, 49473.72
65, 4831838208, 20312, 49012.96
66, 4831838208, 21288, 46849.22
67, 4831838208, 19344, 51652.97
68, 4831838208, 20824, 47815.66
69, 4831838208, 20866, 47789.17
70, 4831838208, 24342, 40927.55
71, 4831838208, 21504, 46360.54
72, 4831838208, 19784, 50445.57
73, 4831838208, 21878, 45510.18
74, 4831838208, 33494, 29685.70
75, 4831838208, 32116, 30967.27
76, 4831838208, 26344, 37876.12
77, 4831838208, 23016, 43247.93
78, 4831838208, 26520, 37612.62
79, 4831838208, 21907, 45460.07
80, 4831838208, 24573, 40567.13
81, 4831838208, 25120, 39694.51
82, 4831838208, 29016, 34302.21
83, 4831838208, 44976, 22103.74
84, 4831838208, 42216, 23551.60
85, 4831838208, 47120, 21089.18
