Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 151687168, 37034, 4649.12
1, 478580736, 79808, 12461.46
2, 790482944, 76148, 13064.89
3, 1124442112, 81533, 12197.73
4, 1242652672, 28860, 34609.65
5, 1352495104, 26817, 37203.35
6, 1471168512, 28973, 34480.98
7, 1594089472, 30010, 33229.31
8, 1725435904, 32067, 31080.95
9, 1853370368, 31234, 31946.87
10, 1974521856, 29578, 33794.37
11, 2094645248, 29327, 33979.03
12, 2208321536, 27753, 35954.80
13, 2348015616, 34105, 29252.25
14, 2485063680, 33459, 29906.34
15, 2616930304, 32194, 30915.09
16, 2754428928, 33569, 29707.81
17, 2890825728, 33300, 29982.83
18, 3030409216, 34078, 29315.49
19, 3165331456, 32940, 30250.07
20, 3302760448, 33552, 29711.06
21, 3442073600, 34012, 29334.68
22, 3588091904, 35649, 27983.10
23, 3725520896, 33552, 29731.06
24, 3876909056, 36960, 27068.79
25, 4017307648, 34277, 29015.93
26, 4159242240, 34652, 28803.60
27, 4301864960, 34820, 28711.06
28, 4435738624, 32684, 30450.53
29, 4579287040, 35046, 28481.84
30, 4719636480, 34265, 29125.98
31, 4831838208, 28822, 34626.09
32, 4831838208, 13504, 73878.30
33, 4831838208, 13588, 73412.63
34, 4831838208, 17344, 57574.09
35, 4831838208, 19488, 51117.70
36, 4831838208, 21608, 46214.18
37, 4831838208, 21088, 47198.01
38, 4831838208, 20944, 47612.17
39, 4831838208, 21280, 46866.28
40, 4831838208, 24528, 40714.37
41, 4831838208, 23496, 42415.88
42, 4831838208, 21247, 46896.73
43, 4831838208, 20697, 48283.69
44, 4831838208, 20160, 49505.38
45, 4831838208, 21664, 45981.16
46, 4831838208, 20578, 48460.72
47, 4831838208, 20377, 48927.52
48, 4831838208, 20824, 47883.09
49, 4831838208, 21881, 45471.05
50, 4831838208, 25473, 39179.02
51, 4831838208, 25414, 39167.62
52, 4831838208, 21318, 46716.49
53, 4831838208, 22168, 44950.75
54, 4831838208, 20311, 49079.16
55, 4831838208, 22780, 43744.10
56, 4831838208, 21531, 46317.25
57, 4831838208, 18383, 54236.22
58, 4831838208, 237478, 4092.12
59, 4831838208, 74300, 13303.01
60, 4831838208, 21904, 45525.38
61, 4831838208, 18184, 54905.98
62, 4831838208, 19320, 51587.26
63, 4831838208, 20504, 48648.73
64, 4831838208, 19376, 51512.91
65, 4831838208, 19384, 51435.50
66, 4831838208, 19856, 50213.92
67, 4831838208, 20280, 49309.27
68, 4831838208, 19976, 49802.82
69, 4831838208, 20560, 48559.40
70, 4831838208, 23440, 42473.93
71, 4831838208, 23224, 42901.99
72, 4831838208, 22880, 43590.24
73, 4831838208, 22999, 43347.30
