Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 62124032, 15168, 5312.88
1, 551886848, 119571, 8295.74
2, 915550208, 88785, 11195.65
3, 1222832128, 75020, 13262.53
4, 1321058304, 23981, 41671.55
5, 1436561408, 28199, 35459.10
6, 1544687616, 26398, 37768.59
7, 1658720256, 27840, 35806.01
8, 1771384832, 27506, 36290.38
9, 1875394560, 25393, 39319.63
10, 1988202496, 27541, 36195.98
11, 2105966592, 28751, 34922.69
12, 2222919680, 28553, 34762.46
13, 2342264832, 29137, 34232.85
14, 2463830016, 29679, 33658.93
15, 2581655552, 28766, 34767.11
16, 2700873728, 29106, 34214.39
17, 2853801984, 37336, 26725.68
18, 2996555776, 34852, 28609.18
19, 3125596160, 31504, 31650.65
20, 3281653760, 38100, 26178.25
21, 3440373760, 38750, 25738.45
22, 3596816384, 38194, 26115.54
23, 3739975680, 34951, 28554.02
24, 3873546240, 32610, 30637.94
25, 3993333760, 29245, 34143.78
26, 4139454464, 35674, 27895.82
27, 4283518976, 35172, 28398.87
28, 4423585792, 34196, 29288.71
29, 4550062080, 30878, 32175.13
30, 4675239936, 30561, 32666.40
31, 4801695744, 30873, 32267.34
32, 4831838208, 17592, 56826.37
33, 4831838208, 16320, 61055.08
34, 4831838208, 20816, 47908.00
35, 4831838208, 24488, 40783.54
36, 4831838208, 19694, 50664.23
37, 4831838208, 16618, 59992.80
38, 4831838208, 18024, 55277.77
39, 4831838208, 17500, 57095.24
40, 4831838208, 17756, 56199.93
41, 4831838208, 20496, 48578.49
42, 4831838208, 21328, 46726.92
43, 4831838208, 22488, 44401.73
44, 4831838208, 19488, 51197.67
45, 4831838208, 20128, 49524.43
46, 4831838208, 21608, 46154.55
47, 4831838208, 19160, 52001.90
48, 4831838208, 24377, 40908.46
49, 4831838208, 25815, 38554.63
50, 4831838208, 24140, 41278.62
51, 4831838208, 22956, 43418.64
52, 4831838208, 23816, 41839.65
53, 4831838208, 24436, 40774.82
54, 4831838208, 21740, 45862.24
55, 4831838208, 19085, 52250.04
56, 4831838208, 19035, 52472.89
57, 4831838208, 21240, 46860.36
58, 4831838208, 21324, 46775.95
59, 4831838208, 19413, 51280.50
60, 4831838208, 21569, 46233.52
61, 4831838208, 20808, 48002.47
62, 4831838208, 20314, 49034.81
63, 4831838208, 20204, 49387.55
64, 4831838208, 16672, 59930.96
65, 4831838208, 18396, 54130.56
66, 4831838208, 21644, 46083.11
67, 4831838208, 22049, 45318.22
68, 4831838208, 20611, 48288.71
69, 4831838208, 130823, 7503.42
70, 4831838208, 197689, 4927.19
71, 4831838208, 69236, 14309.88
72, 4831838208, 19293, 51740.83
