Linux 6.6.8-swap-profiling (amd3) 	12/10/24 	_x86_64_	(128 CPU)

08:14:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:16:17        all      0.05      0.00      5.04     80.83      0.00     14.08
08:16:18        all      0.09      0.00      4.45     80.92      0.00     14.53
08:16:19        all      0.09      0.00      4.63     80.51      0.00     14.77
08:16:20        all      0.03      0.00      5.34     81.88      0.00     12.75
08:16:21        all      0.08      0.00      5.66     82.46      0.00     11.80
08:16:22        all      0.08      0.00      4.41     83.45      0.00     12.06
08:16:23        all      0.07      0.00      4.80     83.54      0.00     11.59
08:16:24        all      0.09      0.00      4.99     84.70      0.00     10.21
08:16:25        all      0.06      0.00      5.47     84.49      0.00      9.98
08:16:26        all      0.08      0.00      4.55     85.70      0.00      9.67
08:16:27        all      0.00      0.00      4.59     84.92      0.00     10.49
08:16:28        all      0.07      0.00      5.00     84.37      0.00     10.56
08:16:29        all      0.13      0.00      5.11     84.34      0.00     10.41
08:16:30        all      0.11      0.00      4.57     85.54      0.00      9.78
08:16:31        all      0.04      0.00      5.33     86.85      0.00      7.78
08:16:32        all      0.13      0.00      4.67     87.41      0.00      7.79
08:16:33        all      0.06      0.00      5.12     87.39      0.00      7.44
08:16:34        all      0.09      0.00      4.62     87.21      0.00      8.08
08:16:35        all      0.07      0.00      4.97     87.59      0.00      7.37
08:16:36        all      0.09      0.00      5.03     87.78      0.00      7.10
08:16:37        all      0.07      0.00      4.59     89.10      0.00      6.24
08:16:38        all      0.10      0.00      4.15     89.05      0.00      6.70
08:16:39        all      0.07      0.00      5.01     86.52      0.00      8.40
08:16:40        all      0.08      0.00      4.57     85.97      0.00      9.38
08:16:41        all      0.09      0.00      3.93     86.26      0.00      9.72
08:16:42        all      0.05      0.00      4.36     85.81      0.00      9.78
08:16:43        all      0.09      0.00      5.21     85.21      0.00      9.49
08:16:44        all      0.12      0.00      4.49     84.77      0.00     10.61
08:16:45        all      0.07      0.00      3.80     84.19      0.00     11.93
08:16:46        all      0.09      0.00      3.46     84.15      0.00     12.30
08:16:47        all      0.08      0.00      4.31     84.24      0.00     11.37
08:16:48        all      0.09      0.00      5.00     81.41      0.00     13.50
08:16:49        all      0.05      0.00      3.61     79.97      0.00     16.37
08:16:50        all      0.14      0.00      3.60     81.17      0.00     15.08
08:16:51        all      0.09      0.00      4.05     82.27      0.00     13.59
08:16:52        all      0.04      0.00      4.41     81.72      0.00     13.83
08:16:53        all      0.09      0.00      3.58     81.79      0.00     14.54
08:16:54        all      0.10      0.00      3.99     80.92      0.00     14.99
08:16:55        all      0.09      0.00      3.70     79.47      0.00     16.73
08:16:56        all      0.09      0.00      3.68     76.32      0.00     19.91
08:16:57        all      0.06      0.00      3.16     77.22      0.00     19.56
08:16:58        all      0.06      0.00      3.43     78.40      0.00     18.11
08:16:59        all      0.25      0.00      4.08     76.50      0.00     19.17
08:17:00        all      0.24      0.00      1.97     76.60      0.00     21.18
08:17:01        all      0.09      0.00      2.16     81.86      0.00     15.89
08:17:02        all      0.04      0.00      1.92     88.07      0.00      9.97
08:17:03        all      0.07      0.00      2.20     87.78      0.00      9.95
08:17:04        all      0.07      0.00      2.27     87.89      0.00      9.77
08:17:05        all      0.09      0.00      2.39     86.54      0.00     10.99
08:17:06        all      0.06      0.00      2.41     87.29      0.00     10.25
08:17:07        all      0.08      0.00      2.20     88.39      0.00      9.33
08:17:08        all      0.07      0.00      3.16     87.17      0.00      9.60
