Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 91512832, 22343, 28924.20
1, 308400128, 52951, 18819.44
2, 492072960, 44842, 22233.38
3, 583155712, 22237, 44927.34
4, 590471168, 1786, 1001575.69
5, 590733312, 64, 26114591.55
7, 619806720, 7098, 78034.89
8, 687976448, 16643, 60465.01
9, 717791232, 7279, 149430.24
10, 740696064, 5592, 166487.85
11, 759013376, 4472, 224022.93
12, 780365824, 5213, 186348.25
13, 825221120, 10951, 92114.59
14, 843214848, 4393, 222099.81
15, 876957696, 8238, 123929.06
16, 910884864, 8283, 117884.03
17, 942637056, 7752, 131462.30
18, 974696448, 7827, 127352.02
19, 1011421184, 8966, 111041.67
20, 1046097920, 8466, 117071.32
21, 1107910656, 15091, 73654.00
22, 1161371648, 13052, 67521.69
23, 1235595264, 18121, 55657.78
24, 1300287488, 15794, 68330.51
25, 1365585920, 15942, 58393.37
26, 1412562944, 11469, 92752.86
27, 1455476736, 10477, 87058.31
28, 1501372416, 11205, 89061.44
29, 1560096768, 14337, 69683.72
30, 1609814016, 12138, 82340.95
31, 1647648768, 9237, 108575.42
32, 1701662720, 13187, 78064.56
33, 1735254016, 8201, 121706.31
34, 1774710784, 9633, 101067.82
35, 1822023680, 11551, 87581.08
36, 1895264256, 17881, 55188.11
37, 1950437376, 13470, 74044.22
38, 2002292736, 12660, 78782.94
39, 2048708608, 11332, 93183.76
40, 2112868352, 15664, 64561.24
41, 2168074240, 13478, 72563.12
42, 2227548160, 14520, 65934.96
43, 2302111744, 18204, 54204.08
44, 2368819200, 16286, 62407.24
45, 2414596096, 11176, 88378.45
46, 2415919104, 3769, 263390.87
47, 2415919104, 3219, 318337.36
48, 2415919104, 3704, 269570.45
49, 2415919104, 3352, 290877.45
50, 2415919104, 2768, 362422.90
51, 2415919104, 3096, 321690.12
52, 2415919104, 3096, 322844.45
53, 2415919104, 3496, 298254.92
54, 2415919104, 2632, 363840.55
55, 2415919104, 3096, 355450.93
56, 2415919104, 1680, 565129.76
57, 2415919104, 4477, 211558.01
58, 2415919104, 3491, 303686.14
59, 2415919104, 2240, 418835.12
60, 2415919104, 4144, 256634.61
61, 2415919104, 3752, 249151.06
62, 2415919104, 5176, 192991.20
63, 2415919104, 5232, 201813.63
64, 2415919104, 5584, 184413.61
65, 2415919104, 6967, 130952.27
66, 2415919104, 6753, 147841.08
67, 2415919104, 6064, 169514.05
68, 2415919104, 5704, 185748.26
69, 2415919104, 5103, 178009.09
70, 2415919104, 4625, 222388.10
71, 2415919104, 5872, 182470.27
72, 2415919104, 5488, 173936.85
73, 2415919104, 5904, 159371.74
74, 2415919104, 4912, 203528.56
75, 2415919104, 4888, 207560.18
76, 2415919104, 5656, 174951.29
77, 2415919104, 6872, 144332.87
78, 2415919104, 7648, 130616.59
79, 2415919104, 7504, 132992.89
80, 2415919104, 5972, 167117.90
81, 2415919104, 6892, 146969.89
82, 2415919104, 6990, 140754.65
83, 2415919104, 6714, 148847.25
84, 2415919104, 6538, 152628.48
85, 2415919104, 7422, 137165.50
86, 2415919104, 5392, 185429.26
87, 2415919104, 4640, 210919.59
88, 2415919104, 5168, 193185.74
89, 2415919104, 5648, 179218.55
90, 2415919104, 7568, 133721.31
91, 2415919104, 6872, 142461.81
92, 2415919104, 6368, 156267.66
93, 2415919104, 7320, 138296.38
94, 2415919104, 6464, 152501.33
95, 2415919104, 6232, 161595.48
96, 2415919104, 6664, 147938.58
97, 2415919104, 6664, 149885.97
98, 2415919104, 6592, 154940.99
99, 2415919104, 6096, 160151.74
100, 2415919104, 5682, 175828.04
101, 2415919104, 6342, 157445.51
102, 2415919104, 5576, 179112.01
103, 2415919104, 6384, 157082.57
104, 2415919104, 6720, 149569.55
105, 2415919104, 6352, 155705.68
106, 2415919104, 5272, 189229.24
107, 2415919104, 6020, 165979.38
108, 2415919104, 5908, 173295.68
109, 2415919104, 5776, 168600.21
110, 2415919104, 6432, 159315.51
111, 2415919104, 6614, 147121.32
112, 2415919104, 6290, 161136.10
113, 2415919104, 7200, 140101.56
114, 2415919104, 7250, 134366.70
115, 2415919104, 6062, 164733.01
116, 2415919104, 6328, 159022.88
117, 2415919104, 6850, 144752.25
118, 2415919104, 6513, 153289.20
119, 2415919104, 5973, 167166.84
120, 2415919104, 6818, 146518.47
121, 2415919104, 4990, 200318.11
122, 2415919104, 5376, 190617.40
123, 2415919104, 4808, 202462.77
124, 2415919104, 5432, 185031.90
125, 2415919104, 7010, 141310.25
126, 2415919104, 7166, 141880.96
127, 2415919104, 7400, 132488.36
128, 2415919104, 7688, 133357.28
129, 2415919104, 6320, 154212.35
130, 2415919104, 6899, 144396.94
131, 2415919104, 7109, 140399.15
132, 2415919104, 6936, 145978.90
133, 2415919104, 6540, 150673.74
134, 2415919104, 6748, 148546.33
135, 2415919104, 6507, 152909.51
136, 2415919104, 6941, 144191.28
137, 2415919104, 6968, 146420.89
138, 2415919104, 6704, 148709.45
139, 2415919104, 5824, 167617.86
140, 2415919104, 6833, 146144.47
141, 2415919104, 6423, 157112.90
142, 2415919104, 9121, 108378.85
143, 2415919104, 8501, 117378.03
144, 2415919104, 9748, 102376.91
