Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 100986880, 24656, 23435.42
1, 352804864, 61479, 16196.70
2, 535945216, 44712, 22294.34
3, 635314176, 24260, 41136.96
4, 637583360, 554, 3036955.96
5, 637890560, 75, 17942800.43
7, 650592256, 3101, 317631.54
8, 686985216, 8885, 112435.22
9, 729362432, 10346, 97159.93
10, 770109440, 9948, 112750.00
11, 809345024, 9579, 89625.06
12, 826834944, 4270, 237554.35
13, 842252288, 3764, 262495.59
14, 861364224, 4666, 219319.85
15, 908079104, 11405, 87224.33
16, 938151936, 7342, 133759.54
17, 971730944, 8198, 124939.16
18, 1006264320, 8431, 115240.31
19, 1068654592, 15232, 67660.13
20, 1099046912, 7420, 136039.39
21, 1111429120, 3023, 363594.78
22, 1126481920, 3675, 262257.06
23, 1138606080, 2960, 322031.48
24, 1153564672, 3652, 287354.92
25, 1179303936, 6284, 144646.78
26, 1192230912, 3156, 330268.38
27, 1217519616, 6174, 151732.87
28, 1241153536, 5770, 191315.30
29, 1267863552, 6521, 137287.33
30, 1286324224, 4507, 227750.02
31, 1310502912, 5903, 175058.28
32, 1328607232, 4420, 231863.23
33, 1343676416, 3679, 249157.07
34, 1367605248, 5842, 189379.45
35, 1388904448, 5200, 183412.97
36, 1405616128, 4080, 231295.55
37, 1421299712, 3829, 259136.86
38, 1432383488, 2706, 376840.41
39, 1453580288, 5175, 196603.74
40, 1475735552, 5409, 180129.29
41, 1532674048, 13901, 73641.06
42, 1594150912, 15009, 64688.13
43, 1663393792, 16905, 58580.02
44, 1744175104, 19722, 51701.50
45, 1782079488, 9254, 107549.60
46, 1830338560, 11782, 83367.05
47, 1896112128, 16058, 63490.56
48, 1947742208, 12605, 78720.15
49, 1994944512, 11524, 85483.34
50, 2030338048, 8641, 115664.22
51, 2072281088, 10240, 98359.70
52, 2115973120, 10667, 94137.99
53, 2177720320, 15075, 65420.40
54, 2294898688, 28608, 34886.62
55, 2380181504, 20821, 52142.24
56, 2415919104, 10958, 93961.45
57, 2415919104, 2136, 413694.67
58, 2415919104, 2624, 412666.97
59, 2415919104, 3120, 293320.18
60, 2415919104, 2696, 398371.63
61, 2415919104, 3714, 248368.50
62, 2415919104, 4822, 207125.61
63, 2415919104, 5320, 198420.28
64, 2415919104, 5264, 192616.68
65, 2415919104, 5280, 175366.56
66, 2415919104, 4632, 215623.04
67, 2415919104, 5320, 192312.77
68, 2415919104, 5640, 173083.61
69, 2415919104, 5080, 196143.72
70, 2415919104, 4456, 234002.61
71, 2415919104, 6368, 167576.13
72, 2415919104, 4888, 193821.12
73, 2415919104, 7103, 131986.99
74, 2415919104, 4049, 246424.38
75, 2415919104, 5592, 182863.92
76, 2415919104, 6192, 158168.38
77, 2415919104, 6256, 159574.87
78, 2415919104, 7216, 138377.25
79, 2415919104, 7144, 139310.62
80, 2415919104, 6120, 168777.91
81, 2415919104, 6104, 160462.76
82, 2415919104, 8426, 116652.33
83, 2415919104, 6973, 143219.41
84, 2415919104, 6995, 142739.26
85, 2415919104, 7414, 136426.73
86, 2415919104, 5248, 192199.25
87, 2415919104, 5928, 164866.03
88, 2415919104, 5336, 189037.24
89, 2415919104, 5288, 189695.41
90, 2415919104, 7312, 134649.42
91, 2415919104, 7520, 134421.95
92, 2415919104, 7168, 137530.88
93, 2415919104, 7448, 136155.49
94, 2415919104, 7008, 141196.35
95, 2415919104, 7416, 133856.54
96, 2415919104, 6512, 153369.02
97, 2415919104, 6283, 158933.35
98, 2415919104, 6885, 149192.53
99, 2415919104, 5152, 188370.11
100, 2415919104, 5817, 171776.97
101, 2415919104, 5743, 173948.80
102, 2415919104, 6600, 151225.70
103, 2415919104, 6328, 158580.74
104, 2415919104, 6224, 159894.79
105, 2415919104, 6778, 147415.69
106, 2415919104, 5848, 170404.50
107, 2415919104, 5995, 166654.53
108, 2415919104, 7195, 141876.30
109, 2415919104, 6272, 155742.94
110, 2415919104, 6720, 153045.97
111, 2415919104, 7072, 136978.78
112, 2415919104, 6040, 169373.16
113, 2415919104, 6144, 159855.12
114, 2415919104, 6232, 159897.17
115, 2415919104, 6139, 161838.81
116, 2415919104, 6693, 150204.86
117, 2415919104, 6320, 158107.80
118, 2415919104, 7229, 137684.35
119, 2415919104, 6014, 165437.23
120, 2415919104, 6147, 162508.56
121, 2415919104, 4770, 209700.17
122, 2415919104, 4976, 206267.02
123, 2415919104, 4272, 231509.05
124, 2415919104, 5308, 184999.87
125, 2415919104, 7405, 134725.42
126, 2415919104, 7703, 131930.57
127, 2415919104, 7768, 126303.58
128, 2415919104, 7080, 144383.84
129, 2415919104, 6718, 145102.39
130, 2415919104, 7166, 139423.34
131, 2415919104, 6988, 143207.64
132, 2415919104, 7544, 135475.49
133, 2415919104, 6389, 152270.84
134, 2415919104, 7123, 141468.85
135, 2415919104, 5914, 167406.10
136, 2415919104, 6486, 155029.10
137, 2415919104, 6648, 153156.95
138, 2415919104, 6240, 159457.71
139, 2415919104, 6312, 154609.28
140, 2415919104, 8040, 124147.48
141, 2415919104, 7808, 129076.96
142, 2415919104, 8719, 113542.77
143, 2415919104, 9367, 106558.09
144, 2415919104, 11502, 86776.22
145, 2415919104, 20316, 49075.04
