Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 161558528, 39444, 13406.57
1, 377851904, 52806, 18869.52
2, 614109184, 57680, 17270.44
3, 780828672, 40703, 24507.00
4, 788697088, 1921, 879751.77
5, 788701184, 1, 1276735813.00
6, 791035904, 570, 89307.27
7, 808431616, 4247, 234836.26
8, 837275648, 7042, 141337.35
9, 873271296, 8788, 123681.13
10, 911396864, 9308, 96745.73
11, 949497856, 9302, 112322.81
12, 980123648, 7477, 129394.61
13, 1015877632, 8729, 113819.70
14, 1051246592, 8635, 114835.14
15, 1106366464, 13457, 74239.91
16, 1152524288, 11269, 89538.38
17, 1184849920, 7892, 127217.51
18, 1223278592, 9382, 106615.96
19, 1257091072, 8255, 120053.46
20, 1304432640, 11558, 86249.81
21, 1356570624, 12729, 80024.13
22, 1419186176, 15287, 64703.41
23, 1479917568, 14827, 66391.27
24, 1547878400, 16592, 62801.94
25, 1606127616, 14221, 67732.91
26, 1651937280, 11184, 90140.05
27, 1702576128, 12363, 91213.60
28, 1742069760, 9642, 94777.68
29, 1816702976, 18221, 52319.63
30, 1868857344, 12733, 77390.40
31, 1922605056, 13122, 83276.98
32, 1996070912, 17936, 50873.30
33, 2058162176, 15159, 67110.47
34, 2109972480, 12649, 79041.54
35, 2149687296, 9696, 102417.82
36, 2215051264, 15958, 62151.32
37, 2270851072, 13623, 80597.03
38, 2313879552, 10505, 84423.02
39, 2350690304, 8987, 120350.84
40, 2405023744, 13265, 76527.03
41, 2415919104, 3789, 251563.68
42, 2415919104, 4104, 236963.51
43, 2415919104, 1664, 647992.83
44, 2415919104, 2643, 338940.56
45, 2415919104, 3349, 303746.93
46, 2415919104, 2898, 338485.12
47, 2415919104, 4566, 220392.28
48, 2415919104, 3080, 326621.04
49, 2415919104, 3352, 293922.95
50, 2415919104, 3744, 269196.44
51, 2415919104, 3104, 319337.68
52, 2415919104, 2688, 397675.82
53, 2415919104, 2112, 457279.21
54, 2415919104, 2792, 345076.66
55, 2415919104, 4560, 227111.16
56, 2415919104, 1528, 710109.65
57, 2415919104, 1952, 490821.71
58, 2415919104, 3632, 269391.77
59, 2415919104, 3392, 284636.38
60, 2415919104, 2152, 485489.46
61, 2415919104, 3375, 274937.68
62, 2415919104, 4296, 232557.54
63, 2415919104, 5577, 186555.50
64, 2415919104, 5024, 209374.73
65, 2415919104, 5524, 163923.33
66, 2415919104, 4580, 218440.69
67, 2415919104, 5320, 191379.14
68, 2415919104, 5104, 209910.08
69, 2415919104, 6808, 132903.53
70, 2415919104, 5696, 179899.08
71, 2415919104, 6432, 164615.46
72, 2415919104, 5224, 186360.73
73, 2415919104, 5320, 176410.55
74, 2415919104, 5152, 193822.36
75, 2415919104, 6472, 158151.93
76, 2415919104, 6152, 159879.10
77, 2415919104, 6763, 146195.33
78, 2415919104, 6981, 143045.34
79, 2415919104, 6512, 153273.67
80, 2415919104, 6512, 158623.39
81, 2415919104, 6960, 140563.24
82, 2415919104, 7312, 134726.19
83, 2415919104, 6728, 148584.09
84, 2415919104, 6648, 149952.30
85, 2415919104, 7840, 129841.39
86, 2415919104, 4736, 211862.39
87, 2415919104, 4976, 195948.43
88, 2415919104, 5664, 177672.47
89, 2415919104, 5304, 188654.88
90, 2415919104, 5824, 174824.15
91, 2415919104, 7408, 131561.57
92, 2415919104, 7440, 134086.19
93, 2415919104, 7360, 139189.21
94, 2415919104, 7096, 136929.69
95, 2415919104, 6816, 147524.56
96, 2415919104, 6568, 150586.53
97, 2415919104, 7774, 128434.14
98, 2415919104, 6538, 155904.86
99, 2415919104, 5696, 171797.16
100, 2415919104, 6336, 157629.38
101, 2415919104, 6464, 154491.89
102, 2415919104, 7145, 139825.19
103, 2415919104, 6935, 145162.23
104, 2415919104, 6904, 144482.36
105, 2415919104, 5980, 166055.50
106, 2415919104, 6124, 162843.25
107, 2415919104, 5601, 178401.15
108, 2415919104, 6735, 151658.14
109, 2415919104, 6264, 155828.96
110, 2415919104, 6480, 158379.13
111, 2415919104, 6618, 146803.73
112, 2415919104, 7038, 146648.28
113, 2415919104, 6088, 162357.99
114, 2415919104, 6416, 152246.73
115, 2415919104, 6092, 163625.79
116, 2415919104, 5992, 166742.68
117, 2415919104, 6628, 151011.92
118, 2415919104, 6728, 152477.69
119, 2415919104, 5008, 193553.59
120, 2415919104, 7470, 133721.90
121, 2415919104, 4627, 215870.45
122, 2415919104, 4783, 214097.73
123, 2415919104, 4604, 211426.70
124, 2415919104, 5836, 172457.50
125, 2415919104, 7380, 134242.27
126, 2415919104, 7012, 144784.61
127, 2415919104, 7496, 131016.78
128, 2415919104, 7064, 144644.84
129, 2415919104, 6663, 146392.51
130, 2415919104, 6964, 143405.07
131, 2415919104, 6777, 147371.31
132, 2415919104, 7204, 140572.88
133, 2415919104, 6496, 151665.09
134, 2415919104, 6424, 156481.37
135, 2415919104, 6904, 143686.21
136, 2415919104, 6368, 156762.47
137, 2415919104, 6784, 150314.33
138, 2415919104, 6000, 166965.08
139, 2415919104, 5961, 163664.34
140, 2415919104, 7607, 131195.82
141, 2415919104, 7456, 135632.07
142, 2415919104, 7988, 123350.36
143, 2415919104, 9754, 102323.93
