Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 127717376, 31182, 7980.20
1, 424177664, 72378, 13750.91
2, 722948096, 72942, 13642.34
3, 975634432, 61691, 16141.11
4, 1072209920, 23578, 44996.67
5, 1083383808, 2728, 460701.87
6, 1090523136, 1743, 408363.49
7, 1094131712, 881, 1183663.93
8, 1150455808, 13751, 67472.06
9, 1186619392, 8829, 117236.75
10, 1254334464, 16532, 58069.46
11, 1324556288, 17144, 59541.86
12, 1391796224, 16416, 62071.97
13, 1469472768, 18964, 53183.51
14, 1540673536, 17383, 54817.03
15, 1605054464, 15718, 63167.80
16, 1723863040, 29006, 34405.43
17, 1827225600, 25235, 39726.06
18, 1925165056, 23911, 41578.53
19, 2045566976, 29395, 34342.44
20, 2142986240, 23784, 41502.78
21, 2248396800, 25735, 39889.68
22, 2280620032, 7867, 130454.85
23, 2355105792, 18185, 55026.62
24, 2417807360, 15308, 62167.22
25, 2494914560, 18825, 52949.20
26, 2571010048, 18578, 53337.19
27, 2655797248, 20700, 48590.74
28, 2723934208, 16635, 61762.92
29, 2768154624, 10796, 89185.96
30, 2835886080, 16536, 61847.11
31, 2896691200, 14845, 68285.23
32, 2954948608, 14223, 72079.06
33, 3002630144, 11641, 83150.47
34, 3036680192, 8313, 116180.38
35, 3084738560, 11733, 89656.16
36, 3134144512, 12062, 81215.58
37, 3159904256, 6289, 154931.14
38, 3233968128, 18082, 57648.03
39, 3293769728, 14600, 64893.98
40, 3352670208, 14380, 70947.57
41, 3418492928, 16070, 61602.52
42, 3483074560, 15767, 62580.87
43, 3559313408, 18613, 53923.56
44, 3628572672, 16909, 59315.04
45, 3687890944, 14482, 68714.06
46, 3740745728, 12904, 77683.89
47, 3824074752, 20344, 48908.43
48, 3894484992, 17190, 57971.53
49, 4003217408, 26546, 37773.64
50, 4099973120, 23622, 42410.68
51, 4184551424, 20649, 48385.10
52, 4291108864, 26015, 37945.99
53, 4397617152, 26003, 38614.25
54, 4500111360, 25023, 40070.83
55, 4636282880, 33245, 29943.53
56, 4773978112, 33617, 29609.14
57, 4831838208, 18567, 53588.11
58, 4831838208, 8856, 112335.22
59, 4831838208, 7824, 131159.94
60, 4831838208, 9988, 97058.01
61, 4831838208, 9324, 109700.05
62, 4831838208, 9008, 109815.38
63, 4831838208, 9560, 102775.26
64, 4831838208, 10632, 99009.51
65, 4831838208, 9328, 101082.93
66, 4831838208, 9584, 111571.78
67, 4831838208, 9264, 100056.09
68, 4831838208, 10312, 102943.81
69, 4831838208, 10024, 93438.54
70, 4831838208, 11728, 84938.89
71, 4831838208, 11720, 85988.15
72, 4831838208, 11816, 84095.96
73, 4831838208, 12224, 81573.88
74, 4831838208, 10888, 91606.12
75, 4831838208, 10680, 93879.81
76, 4831838208, 9896, 100057.15
77, 4831838208, 9880, 105133.92
78, 4831838208, 9616, 100698.56
79, 4831838208, 9416, 104893.03
80, 4831838208, 9840, 102672.15
81, 4831838208, 11288, 87336.11
82, 4831838208, 12104, 82377.72
83, 4831838208, 11744, 84906.94
84, 4831838208, 12792, 78540.67
85, 4831838208, 12080, 82232.87
86, 4831838208, 11256, 88483.92
87, 4831838208, 11032, 90465.99
88, 4831838208, 14024, 72014.38
89, 4831838208, 11000, 89922.46
90, 4831838208, 9968, 101979.84
91, 4831838208, 11372, 85885.04
92, 4831838208, 11129, 89734.71
93, 4831838208, 12439, 80319.39
94, 4831838208, 10543, 94566.81
95, 4831838208, 9933, 101827.09
96, 4831838208, 10193, 96853.14
97, 4831838208, 10735, 93675.85
98, 4831838208, 11903, 83053.19
99, 4831838208, 11886, 84062.57
100, 4831838208, 12155, 82427.15
101, 4831838208, 12056, 82416.34
102, 4831838208, 11680, 86305.29
103, 4831838208, 11640, 85179.75
104, 4831838208, 13136, 76306.42
105, 4831838208, 12160, 81506.85
106, 4831838208, 12184, 81931.93
107, 4831838208, 10510, 94966.67
108, 4831838208, 11301, 88341.25
109, 4831838208, 12429, 80292.52
110, 4831838208, 12051, 82852.73
111, 4831838208, 10701, 93297.52
112, 4831838208, 12232, 81849.93
113, 4831838208, 9833, 101157.19
114, 4831838208, 9761, 102295.55
115, 4831838208, 13502, 73895.07
116, 4831838208, 10761, 92809.43
117, 4831838208, 11367, 87794.10
118, 4831838208, 10846, 92051.49
119, 4831838208, 10842, 92206.44
120, 4831838208, 10310, 96683.35
121, 4831838208, 10386, 96041.25
122, 4831838208, 10608, 94280.95
123, 4831838208, 9933, 100291.34
124, 4831838208, 11147, 89820.84
125, 4831838208, 13671, 72764.84
126, 4831838208, 12153, 83156.39
