Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 40529920, 9896, 14461.79
1, 356732928, 77198, 12886.96
2, 686313472, 80464, 12362.66
3, 930967552, 59730, 16674.95
4, 1031884800, 24638, 43055.46
5, 1043607552, 2862, 444890.81
6, 1045094400, 363, 1829507.19
7, 1045835776, 181, 6286840.91
8, 1111465984, 16023, 53862.86
9, 1185542144, 18085, 56960.64
10, 1289515008, 25384, 38000.50
11, 1389473792, 24404, 41469.75
12, 1489424384, 24402, 42136.82
13, 1584091136, 23112, 42894.07
14, 1695141888, 27112, 35632.12
15, 1772789760, 18957, 52862.04
16, 1902059520, 31560, 31362.57
17, 2022559744, 29419, 34499.10
18, 2137915392, 28163, 35021.79
19, 2282250240, 35238, 28470.58
20, 2387484672, 25692, 38859.72
21, 2515890176, 31349, 32106.55
22, 2572234752, 13756, 72483.28
23, 2631663616, 14509, 71367.36
24, 2722463744, 22168, 43048.48
25, 2817400832, 23178, 42879.79
26, 2903437312, 21005, 47607.35
27, 2987118592, 20430, 48546.74
28, 3060011008, 17796, 58302.89
29, 3127341056, 16438, 58395.72
30, 3205652480, 19119, 52710.03
31, 3296440320, 22165, 46321.44
32, 3349155840, 12870, 79193.58
33, 3411955712, 15332, 63730.85
34, 3463761920, 12648, 79181.30
35, 3510423552, 11392, 88488.01
36, 3572604928, 15181, 64565.66
37, 3628957696, 13758, 71872.89
38, 3707789312, 19246, 52981.54
39, 3776364544, 16742, 57344.23
40, 3853070336, 18727, 54212.89
41, 3926175744, 17848, 55897.38
42, 4009717760, 20396, 48197.98
43, 4092575744, 20229, 50924.14
44, 4170080256, 18922, 51175.14
45, 4234493952, 15726, 63636.34
46, 4299780096, 15939, 63127.42
47, 4397158400, 23774, 41630.18
48, 4483866624, 21169, 47182.68
49, 4592279552, 26468, 37632.85
50, 4693630976, 24744, 40672.38
51, 4793368576, 24350, 41122.75
52, 4831838208, 12713, 77698.28
53, 4831838208, 6024, 166585.04
54, 4831838208, 6056, 165759.27
55, 4831838208, 5632, 176802.96
56, 4831838208, 6088, 164094.93
57, 4831838208, 6232, 159641.63
58, 4831838208, 4792, 208028.70
59, 4831838208, 7960, 128995.86
60, 4831838208, 9096, 106573.71
61, 4831838208, 9368, 108372.07
62, 4831838208, 9208, 108312.27
63, 4831838208, 10120, 97191.30
64, 4831838208, 10944, 96796.28
65, 4831838208, 9738, 96288.84
66, 4831838208, 10854, 98388.04
67, 4831838208, 9801, 94709.39
68, 4831838208, 11287, 93951.10
69, 4831838208, 10224, 91545.90
70, 4831838208, 10464, 95383.79
71, 4831838208, 12880, 78009.15
72, 4831838208, 12576, 78823.20
73, 4831838208, 11736, 85342.16
74, 4831838208, 12296, 81085.20
75, 4831838208, 11120, 90137.24
76, 4831838208, 10336, 96037.56
77, 4831838208, 10800, 95212.05
78, 4831838208, 10064, 97093.40
79, 4831838208, 9184, 107511.60
80, 4831838208, 9488, 106521.33
81, 4831838208, 12481, 79166.34
82, 4831838208, 13223, 75763.79
83, 4831838208, 12728, 77848.59
84, 4831838208, 11392, 88091.98
85, 4831838208, 11336, 87552.03
86, 4831838208, 13056, 76423.97
87, 4831838208, 10720, 93407.06
88, 4831838208, 11696, 85913.10
89, 4831838208, 10456, 94546.83
90, 4831838208, 11440, 87223.88
91, 4831838208, 11413, 87511.48
92, 4831838208, 12787, 77984.35
93, 4831838208, 12008, 83365.55
94, 4831838208, 10512, 94676.39
95, 4831838208, 9920, 101968.63
96, 4831838208, 11616, 84883.94
97, 4831838208, 11880, 84489.05
98, 4831838208, 12088, 82005.69
99, 4831838208, 12863, 77582.48
100, 4831838208, 12929, 77501.43
101, 4831838208, 11896, 83614.75
102, 4831838208, 13632, 73944.64
103, 4831838208, 11304, 87374.51
104, 4831838208, 12344, 81115.63
105, 4831838208, 12392, 80262.79
106, 4831838208, 12234, 81607.19
107, 4831838208, 11638, 85742.01
108, 4831838208, 11353, 87896.76
109, 4831838208, 10715, 93175.92
110, 4831838208, 11524, 87601.64
111, 4831838208, 10088, 97982.83
112, 4831838208, 11744, 85184.03
113, 4831838208, 11136, 89320.08
114, 4831838208, 10864, 91929.60
115, 4831838208, 12776, 78071.61
116, 4831838208, 12200, 81962.48
117, 4831838208, 11989, 83308.14
118, 4831838208, 12099, 82413.91
119, 4831838208, 11224, 88979.99
120, 4831838208, 9992, 99727.50
121, 4831838208, 10600, 94319.39
122, 4831838208, 11296, 88428.16
123, 4831838208, 10481, 95032.85
124, 4831838208, 10471, 95378.55
125, 4831838208, 11344, 87898.22
126, 4831838208, 11064, 91535.05
127, 4831838208, 11496, 86444.03
128, 4831838208, 11800, 84203.19
129, 4831838208, 12539, 79141.50
130, 4831838208, 12849, 77658.22
131, 4831838208, 11256, 88741.28
132, 4831838208, 11742, 84998.82
133, 4831838208, 13190, 76270.67
134, 4831838208, 12416, 79750.61
135, 4831838208, 12560, 79427.58
136, 4831838208, 11447, 87313.53
137, 4831838208, 11361, 87817.15
138, 4831838208, 11464, 87892.91
139, 4831838208, 10768, 91981.10
140, 4831838208, 9312, 107151.68
141, 4831838208, 10360, 97069.78
142, 4831838208, 9152, 109058.14
143, 4831838208, 11344, 87106.73
144, 4831838208, 11360, 88267.62
145, 4831838208, 12680, 79217.65
146, 4831838208, 10116, 97734.22
147, 4831838208, 12644, 79869.35
148, 4831838208, 11120, 89843.68
149, 4831838208, 10848, 90807.23
150, 4831838208, 17445, 57082.42
151, 4831838208, 12131, 82249.50
152, 4831838208, 15224, 65468.98
153, 4831838208, 16576, 60085.81
154, 4831838208, 28304, 35170.33
