Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 109006848, 26614, 6236.54
1, 822431744, 174176, 5675.28
2, 1515458560, 169196, 5842.89
3, 2050154496, 130541, 7593.53
4, 2231955456, 44385, 23559.87
5, 2235580416, 885, 1123823.52
6, 2240131072, 1111, 963063.23
7, 2247159808, 1716, 534060.76
8, 2298368000, 12502, 82013.86
9, 2351071232, 12867, 74993.26
10, 2404978688, 13161, 73371.37
11, 2464460800, 14522, 69880.53
12, 2527391744, 15364, 66742.87
13, 2599546880, 17616, 54767.59
14, 2685304832, 20937, 47315.33
15, 2772131840, 21198, 47347.47
16, 2864963584, 22664, 44021.63
17, 2939961344, 18310, 54702.23
18, 3009855488, 17064, 58051.03
19, 3068305408, 14270, 70255.11
20, 3126636544, 14241, 70015.31
21, 3194044416, 16457, 61541.23
22, 3268702208, 18227, 54717.89
23, 3348000768, 19360, 51868.31
24, 3456954368, 26600, 37286.96
25, 3539693568, 20200, 48702.62
26, 3646214144, 26006, 38779.93
27, 3743014912, 23633, 41811.88
28, 3820339200, 18878, 55174.40
29, 3878948864, 14309, 66816.74
30, 3937173504, 14215, 72362.06
31, 3985780736, 11867, 82341.67
32, 4053970944, 16648, 63192.99
33, 4109443072, 13543, 71397.85
34, 4153417728, 10736, 90416.44
35, 4233113600, 19457, 53439.20
36, 4296589312, 15497, 64277.13
37, 4340064256, 10614, 94697.26
38, 4421357568, 19847, 48110.34
39, 4499906560, 19177, 52035.04
40, 4562010112, 15162, 67006.15
41, 4633571328, 17471, 56743.26
42, 4720930816, 21328, 46641.56
43, 4816429056, 23315, 42857.50
44, 4831838208, 9395, 105960.74
45, 4831838208, 4808, 208721.44
46, 4831838208, 7808, 128011.21
47, 4831838208, 6832, 155221.83
48, 4831838208, 5360, 173220.18
49, 4831838208, 5734, 174295.06
50, 4831838208, 5138, 197044.83
51, 4831838208, 5352, 184086.46
52, 4831838208, 5344, 186876.54
53, 4831838208, 5781, 172889.53
54, 4831838208, 6859, 145951.64
55, 4831838208, 5712, 175053.59
56, 4831838208, 6008, 167405.61
57, 4831838208, 6952, 142935.59
58, 4831838208, 9578, 103662.37
59, 4831838208, 7902, 129862.37
60, 4831838208, 7808, 124138.43
61, 4831838208, 9168, 111140.85
62, 4831838208, 11304, 87991.77
63, 4831838208, 11344, 86376.89
64, 4831838208, 11728, 89478.78
65, 4831838208, 9464, 99868.21
66, 4831838208, 10160, 105498.14
67, 4831838208, 11640, 79598.96
68, 4831838208, 11520, 91158.45
69, 4831838208, 9144, 102889.95
70, 4831838208, 10568, 94441.04
71, 4831838208, 14112, 71212.34
72, 4831838208, 11832, 83797.48
73, 4831838208, 13048, 76512.66
74, 4831838208, 12544, 79697.23
75, 4831838208, 12320, 81345.64
76, 4831838208, 12512, 79162.80
77, 4831838208, 10848, 95239.89
78, 4831838208, 11488, 84539.08
79, 4831838208, 11369, 86929.04
80, 4831838208, 11295, 89074.61
81, 4831838208, 12628, 78322.98
82, 4831838208, 12945, 77046.08
83, 4831838208, 12163, 82018.85
84, 4831838208, 12848, 78178.69
85, 4831838208, 12429, 79996.86
86, 4831838208, 13595, 73185.66
87, 4831838208, 13200, 75612.64
88, 4831838208, 13496, 74759.98
89, 4831838208, 11893, 82985.12
90, 4831838208, 12707, 79346.34
91, 4831838208, 12890, 76605.94
92, 4831838208, 12614, 79203.82
93, 4831838208, 12448, 80258.80
94, 4831838208, 9888, 100660.53
95, 4831838208, 10848, 93266.58
96, 4831838208, 10903, 90338.81
97, 4831838208, 10529, 96019.31
98, 4831838208, 13096, 75220.59
99, 4831838208, 12568, 79392.70
100, 4831838208, 13520, 74153.47
101, 4831838208, 12496, 79551.35
102, 4831838208, 11552, 87169.11
103, 4831838208, 11496, 86205.75
104, 4831838208, 12968, 77382.86
105, 4831838208, 13464, 73561.65
106, 4831838208, 12126, 82350.75
107, 4831838208, 11768, 84843.80
108, 4831838208, 11442, 87309.86
109, 4831838208, 12152, 81987.71
110, 4831838208, 12928, 78288.64
111, 4831838208, 10808, 91145.85
112, 4831838208, 11240, 89017.96
113, 4831838208, 9784, 101688.81
114, 4831838208, 10696, 93330.87
115, 4831838208, 13229, 75479.76
116, 4831838208, 11530, 86492.79
117, 4831838208, 12633, 78991.72
118, 4831838208, 12592, 79364.96
119, 4831838208, 10784, 92482.59
120, 4831838208, 10488, 95110.19
121, 4831838208, 12224, 81633.48
122, 4831838208, 10896, 91602.57
123, 4831838208, 9560, 104426.99
124, 4831838208, 10768, 92673.68
125, 4831838208, 14336, 69674.87
126, 4831838208, 12032, 83546.80
127, 4831838208, 12176, 81272.82
128, 4831838208, 11947, 83923.36
129, 4831838208, 11989, 82916.61
130, 4831838208, 12328, 81093.11
131, 4831838208, 12824, 77788.81
132, 4831838208, 11721, 85111.22
133, 4831838208, 11423, 87696.60
134, 4831838208, 10888, 91607.77
135, 4831838208, 14116, 70513.16
136, 4831838208, 11428, 87373.57
137, 4831838208, 11744, 85124.03
138, 4831838208, 11976, 83405.50
139, 4831838208, 10800, 92392.17
140, 4831838208, 10108, 98481.38
141, 4831838208, 10300, 97055.09
142, 4831838208, 9464, 105988.24
143, 4831838208, 9744, 101781.06
144, 4831838208, 12224, 81777.99
145, 4831838208, 10584, 95127.93
146, 4831838208, 10152, 97557.72
147, 4831838208, 11024, 90932.28
148, 4831838208, 10344, 97232.73
149, 4831838208, 13424, 73307.85
150, 4831838208, 19838, 50244.96
