Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 78622720, 19196, 10765.44
1, 382631936, 74221, 13400.76
2, 693014528, 75777, 13130.40
3, 938467328, 59925, 16621.59
4, 1040105472, 24814, 43967.80
5, 1044844544, 1157, 878699.68
6, 1054871552, 2448, 542392.79
7, 1055907840, 253, 2792004.42
8, 1098649600, 10435, 83434.54
9, 1142124544, 10614, 97021.64
10, 1207156736, 15877, 60035.53
11, 1270943744, 15573, 65183.71
12, 1347313664, 18645, 55014.46
13, 1431896064, 20650, 48364.22
14, 1506463744, 18205, 52703.20
15, 1584156672, 18968, 52913.03
16, 1700663296, 28444, 34931.89
17, 1792540672, 22431, 44300.05
18, 1905680384, 27622, 36229.46
19, 2008084480, 25001, 40394.86
20, 2122493952, 27932, 35229.20
21, 2200092672, 18945, 54144.17
22, 2248531968, 11826, 85043.51
23, 2287865856, 9603, 107409.51
24, 2337832960, 12199, 76554.34
25, 2411081728, 17883, 56090.79
26, 2481500160, 17192, 57782.85
27, 2546012160, 15750, 63902.77
28, 2602299392, 13742, 76105.97
29, 2664480768, 15181, 62175.62
30, 2714947584, 12321, 82927.12
31, 2781986816, 16367, 61950.19
32, 2835718144, 13118, 77910.30
33, 2878173184, 10365, 94440.47
34, 2914897920, 8966, 107481.20
35, 2977050624, 15174, 69000.36
36, 3020566528, 10624, 93264.38
37, 3094585344, 18071, 55976.36
38, 3151106048, 13799, 68965.16
39, 3194232832, 10529, 93890.44
40, 3249168384, 13412, 76335.19
41, 3309658112, 14768, 66603.36
42, 3362648064, 12937, 77098.36
43, 3401125888, 9394, 110024.60
44, 3454537728, 13040, 73535.52
45, 3508178944, 13096, 76240.62
46, 3554484224, 11305, 89241.43
47, 3631689728, 18849, 52414.86
48, 3726581760, 23167, 43100.36
49, 3818528768, 22448, 44419.80
50, 3903655936, 20783, 48387.89
51, 4002377728, 24102, 41866.90
52, 4096286720, 22927, 42914.04
53, 4198572032, 24972, 39937.24
54, 4313260032, 28000, 35642.96
55, 4401668096, 21584, 46368.84
56, 4540846080, 33979, 29367.67
57, 4672495616, 32141, 30955.52
58, 4831838208, 39767, 25177.10
59, 4831838208, 6584, 155190.04
60, 4831838208, 7830, 123628.69
61, 4831838208, 9482, 107801.69
62, 4831838208, 9224, 106920.17
63, 4831838208, 9764, 100972.73
64, 4831838208, 10476, 100541.38
65, 4831838208, 10056, 93832.93
66, 4831838208, 9921, 100598.47
67, 4831838208, 9613, 103728.85
68, 4831838208, 10714, 98218.99
69, 4831838208, 10659, 88787.64
70, 4831838208, 10373, 95908.53
71, 4831838208, 12488, 80278.09
72, 4831838208, 11777, 84349.57
73, 4831838208, 10831, 92313.47
74, 4831838208, 11586, 86016.46
75, 4831838208, 10726, 93396.73
76, 4831838208, 10736, 92578.25
77, 4831838208, 11512, 90092.94
78, 4831838208, 10416, 93231.54
79, 4831838208, 9389, 105158.38
80, 4831838208, 10203, 98281.02
81, 4831838208, 10977, 90555.88
82, 4831838208, 11903, 84255.11
83, 4831838208, 10376, 95444.09
84, 4831838208, 11952, 84095.24
85, 4831838208, 10744, 92177.21
86, 4831838208, 12456, 80290.07
87, 4831838208, 10832, 91960.72
88, 4831838208, 11200, 90112.84
89, 4831838208, 11004, 89670.72
90, 4831838208, 11254, 88527.11
91, 4831838208, 10905, 91912.58
92, 4831838208, 11626, 85646.82
93, 4831838208, 11651, 85778.90
94, 4831838208, 10258, 96932.22
95, 4831838208, 9350, 107631.94
96, 4831838208, 12681, 78140.41
97, 4831838208, 11175, 89739.11
98, 4831838208, 11640, 85104.73
99, 4831838208, 11360, 87858.33
100, 4831838208, 13496, 74248.91
101, 4831838208, 11937, 83352.04
102, 4831838208, 12007, 83947.91
103, 4831838208, 11560, 85728.11
104, 4831838208, 12792, 78264.42
105, 4831838208, 11144, 89093.49
106, 4831838208, 12760, 78168.68
107, 4831838208, 11445, 87203.52
108, 4831838208, 11771, 84777.21
109, 4831838208, 10752, 92854.78
110, 4831838208, 11424, 87389.80
111, 4831838208, 10785, 92598.54
112, 4831838208, 11343, 87853.31
113, 4831838208, 11320, 88174.57
114, 4831838208, 11272, 88571.49
115, 4831838208, 11648, 85646.19
116, 4831838208, 10504, 95105.77
117, 4831838208, 12114, 82307.15
