Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 25427968, 6209, 21140.47
1, 268328960, 59302, 16797.49
2, 597590016, 80386, 12371.14
3, 845590528, 60547, 16450.53
4, 944558080, 24162, 43902.83
5, 953794560, 2255, 499386.22
6, 957808640, 980, 1300849.73
7, 966524928, 2128, 273360.24
8, 1018372096, 12658, 77064.03
9, 1078444032, 14666, 69443.56
10, 1155289088, 18761, 51034.79
11, 1224753152, 16959, 60008.34
12, 1296039936, 17404, 58921.09
13, 1356083200, 14659, 67297.03
14, 1428733952, 17737, 54530.11
15, 1505292288, 18691, 53341.89
16, 1611071488, 25825, 38654.50
17, 1723138048, 27360, 36841.45
18, 1842659328, 29180, 33876.98
19, 1922875392, 19584, 51132.85
20, 2017566720, 23118, 43788.46
21, 2120499200, 25130, 40122.47
22, 2158657536, 9316, 105001.89
23, 2217279488, 14312, 69396.33
24, 2278277120, 14892, 68183.91
25, 2371604480, 22785, 43374.31
26, 2444746752, 17857, 55768.95
27, 2528133120, 20358, 49015.81
28, 2605068288, 18783, 55249.03
29, 2663583744, 14286, 67089.32
30, 2726363136, 15327, 66588.79
31, 2779398144, 12948, 78190.19
32, 2808233984, 7040, 146022.43
33, 2847551488, 9599, 101380.68
34, 2900230144, 12861, 76725.54
35, 2963132416, 15357, 67184.86
36, 3008610304, 11103, 87627.29
37, 3044462592, 8753, 113281.92
38, 3090427904, 11222, 90533.49
39, 3163328512, 17798, 53741.07
40, 3241070592, 18980, 53827.17
41, 3314106368, 17831, 55296.64
42, 3380641792, 16244, 60846.71
43, 3428773888, 11751, 88009.55
44, 3487481856, 14333, 67391.62
45, 3554738176, 16420, 60706.85
46, 3608371200, 13094, 77088.08
47, 3696271360, 21460, 46135.34
48, 3776974848, 19703, 50617.07
49, 3862859776, 20968, 47598.44
50, 3956625408, 22892, 43922.66
51, 4055347200, 24102, 41678.25
52, 4148293632, 22692, 43698.04
53, 4263395328, 28101, 35453.59
54, 4366790656, 25243, 39633.68
55, 4485017600, 28864, 34329.53
56, 4619415552, 32812, 30573.50
57, 4778426368, 38821, 25608.80
58, 4831838208, 16369, 61537.45
59, 4831838208, 7400, 137116.91
60, 4831838208, 9488, 102319.53
61, 4831838208, 8864, 115526.82
62, 4831838208, 8904, 111125.93
63, 4831838208, 10009, 97991.48
64, 4831838208, 11327, 93221.24
65, 4831838208, 8680, 108306.52
66, 4831838208, 9376, 114326.48
67, 4831838208, 9744, 94928.58
68, 4831838208, 10304, 96645.80
69, 4831838208, 11168, 89417.94
70, 4831838208, 10320, 96626.20
71, 4831838208, 13232, 75927.42
72, 4831838208, 12648, 78571.30
73, 4831838208, 11864, 84353.91
74, 4831838208, 11568, 86230.98
75, 4831838208, 11648, 86002.28
76, 4831838208, 11272, 88097.98
77, 4831838208, 10072, 102792.98
78, 4831838208, 9696, 100056.54
79, 4831838208, 8560, 115170.88
80, 4831838208, 9696, 104200.56
81, 4831838208, 12736, 77493.29
82, 4831838208, 13528, 73779.98
83, 4831838208, 11856, 84000.59
84, 4831838208, 10856, 92282.37
85, 4831838208, 10620, 93644.44
86, 4831838208, 12484, 79939.96
87, 4831838208, 11264, 88649.73
88, 4831838208, 11536, 86960.33
89, 4831838208, 10784, 92240.23
90, 4831838208, 11216, 89973.30
91, 4831838208, 9904, 99534.83
92, 4831838208, 11402, 87602.41
93, 4831838208, 12606, 79123.69
94, 4831838208, 10816, 92270.06
95, 4831838208, 10480, 96539.66
96, 4831838208, 11582, 85125.32
97, 4831838208, 11722, 85790.13
98, 4831838208, 11640, 85009.65
99, 4831838208, 11245, 88897.54
100, 4831838208, 12323, 81171.72
101, 4831838208, 12656, 78710.67
102, 4831838208, 12424, 81106.39
103, 4831838208, 12496, 79184.17
104, 4831838208, 12368, 81045.43
105, 4831838208, 12247, 80965.50
106, 4831838208, 13353, 74803.99
107, 4831838208, 10854, 92064.02
108, 4831838208, 9875, 100995.75
109, 4831838208, 11047, 90268.17
110, 4831838208, 11346, 88024.47
111, 4831838208, 10950, 91206.58
112, 4831838208, 11312, 88236.20
113, 4831838208, 10791, 92435.55
114, 4831838208, 10889, 91692.70
115, 4831838208, 11718, 85186.60
116, 4831838208, 11291, 88418.28
117, 4831838208, 11917, 83941.33
118, 4831838208, 10388, 95792.36
119, 4831838208, 10222, 97664.98
120, 4831838208, 9952, 100419.88
121, 4831838208, 10888, 91620.46
122, 4831838208, 9800, 102687.36
123, 4831838208, 8859, 112117.85
124, 4831838208, 10602, 93933.39
125, 4831838208, 13635, 73271.60
126, 4831838208, 12048, 83997.48
127, 4831838208, 12032, 82479.60
128, 4831838208, 11938, 83146.01
129, 4831838208, 11398, 87217.73
130, 4831838208, 11896, 84294.72
131, 4831838208, 10556, 94271.43
132, 4831838208, 11328, 88097.91
133, 4831838208, 11852, 84883.87
134, 4831838208, 11648, 85185.63
135, 4831838208, 13009, 76490.76
136, 4831838208, 12657, 78931.46
137, 4831838208, 12278, 81283.53
138, 4831838208, 11816, 85632.71
139, 4831838208, 11064, 89059.39
140, 4831838208, 9008, 111250.41
141, 4831838208, 10008, 99285.67
142, 4831838208, 10128, 99472.78
143, 4831838208, 9450, 104611.72
144, 4831838208, 12190, 81800.09
145, 4831838208, 10984, 91281.56
146, 4831838208, 13427, 74002.13
147, 4831838208, 11749, 85768.82
148, 4831838208, 10136, 97527.15
149, 4831838208, 12599, 79387.23
150, 4831838208, 18971, 52421.48
151, 4831838208, 15725, 63517.47
152, 4831838208, 17020, 58580.78
153, 4831838208, 14669, 67886.39
154, 4831838208, 28272, 35197.22
155, 4831838208, 25888, 38444.06
156, 4831838208, 33448, 29691.98
