Linux 6.6.8-swap-profiling (amd3) 	12/09/24 	_x86_64_	(128 CPU)

07:44:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:44:03        all      0.02      0.00      0.01      0.02      0.00     99.95
07:44:04        all      1.02      0.00     49.82      0.00      0.00     49.15
07:44:05        all      1.66      0.00     87.14      0.00      0.00     11.20
07:44:06        all      1.01      0.00     98.65      0.00      0.00      0.34
07:44:07        all      0.14      0.00     99.65      0.00      0.00      0.21
07:44:08        all      0.06      0.00     99.94      0.00      0.00      0.00
07:44:09        all      0.00      0.00     99.74      0.00      0.00      0.26
07:44:10        all      0.01      0.00     98.97      0.00      0.00      1.02
07:44:11        all      0.12      0.00     99.53      0.00      0.00      0.36
07:44:12        all      0.17      0.00     99.08      0.00      0.00      0.75
07:44:13        all      0.16      0.00     99.38      0.00      0.00      0.45
07:44:14        all      0.13      0.00     98.47      0.00      0.00      1.40
07:44:15        all      0.26      0.00     98.73      0.00      0.00      1.01
07:44:16        all      0.24      0.00     99.63      0.11      0.00      0.02
07:44:17        all      0.17      0.00     99.44      0.09      0.00      0.30
07:44:18        all      0.23      0.00     99.48      0.07      0.00      0.22
07:44:19        all      0.23      0.00     99.70      0.06      0.00      0.02
07:44:20        all      0.22      0.00     99.45      0.08      0.00      0.26
07:44:21        all      0.21      0.00     99.25      0.07      0.00      0.47
07:44:22        all      0.20      0.00     99.47      0.10      0.00      0.23
07:44:23        all      0.12      0.00     99.73      0.07      0.00      0.09
07:44:24        all      0.21      0.00     99.70      0.09      0.00      0.00
07:44:25        all      0.22      0.00     99.73      0.05      0.00      0.00
07:44:26        all      0.19      0.00     99.68      0.13      0.00      0.00
07:44:27        all      0.20      0.00     99.67      0.12      0.00      0.01
07:44:28        all      0.18      0.00     99.77      0.05      0.00      0.00
07:44:29        all      0.12      0.00     99.81      0.06      0.00      0.00
07:44:30        all      0.16      0.00     99.82      0.01      0.00      0.01
07:44:31        all      0.16      0.00     99.83      0.02      0.00      0.00
07:44:32        all      0.16      0.00     99.77      0.08      0.00      0.00
07:44:33        all      0.23      0.00     99.62      0.12      0.00      0.03
07:44:34        all      0.10      0.00     99.63      0.08      0.00      0.19
07:44:35        all      0.10      0.00     99.80      0.10      0.00      0.00
07:44:36        all      0.18      0.00     99.69      0.10      0.00      0.03
07:44:37        all      0.12      0.00     99.76      0.12      0.00      0.00
07:44:38        all      0.23      0.00     99.65      0.12      0.00      0.00
07:44:39        all      0.14      0.00     99.69      0.15      0.00      0.01
07:44:40        all      0.16      0.00     99.64      0.13      0.00      0.06
07:44:41        all      0.16      0.00     99.71      0.13      0.00      0.01
07:44:42        all      0.08      0.00     99.91      0.02      0.00      0.00
07:44:43        all      0.19      0.00     99.80      0.01      0.00      0.00
07:44:44        all      0.18      0.00     99.74      0.08      0.00      0.00
07:44:45        all      0.11      0.00     99.81      0.08      0.00      0.01
07:44:46        all      0.18      0.00     99.73      0.09      0.00      0.01
07:44:47        all      0.10      0.00     99.77      0.12      0.00      0.00
07:44:48        all      0.15      0.00     99.75      0.10      0.00      0.00
07:44:49        all      0.22      0.00     99.41      0.38      0.00      0.00
07:44:50        all      0.15      0.00     99.19      0.66      0.00      0.00
07:44:51        all      0.16      0.00     98.75      1.10      0.00      0.00
07:44:52        all      0.12      0.00     99.11      0.77      0.00      0.00
07:44:53        all      0.12      0.00     98.58      1.31      0.00      0.00
07:44:54        all      0.15      0.00     99.01      0.84      0.00      0.00
07:44:55        all      0.14      0.00     99.43      0.40      0.00      0.02
07:44:56        all      0.16      0.00     98.87      0.95      0.00      0.02
07:44:57        all      0.13      0.00     99.53      0.34      0.00      0.01
07:44:58        all      0.12      0.00     99.60      0.28      0.00      0.01
07:44:59        all      0.13      0.00     99.50      0.37      0.00      0.00
07:45:00        all      0.09      0.00     99.61      0.28      0.00      0.02
07:45:01        all      0.15      0.00     99.30      0.52      0.00      0.03
07:45:02        all      0.12      0.00     99.35      0.42      0.00      0.11
07:45:03        all      0.28      0.00     98.18      1.15      0.00      0.39
07:45:04        all      0.19      0.00     98.08      1.69      0.00      0.04
07:45:05        all      0.22      0.00     98.35      1.38      0.00      0.05
07:45:06        all      0.20      0.00     98.27      1.52      0.00      0.02
07:45:07        all      0.14      0.00     99.04      0.80      0.00      0.02
07:45:08        all      0.23      0.00     98.22      1.44      0.00      0.12
07:45:09        all      0.20      0.00     98.19      1.53      0.00      0.09
07:45:10        all      0.25      0.00     98.30      1.42      0.00      0.03
07:45:11        all      0.22      0.00     97.38      2.34      0.00      0.05
07:45:12        all      0.34      0.00     97.21      2.35      0.00      0.10
07:45:13        all      0.20      0.00     98.65      1.13      0.00      0.02
07:45:14        all      0.27      0.00     96.98      2.60      0.00      0.15
07:45:15        all      0.17      0.00     97.96      1.83      0.00      0.05
07:45:16        all      0.25      0.00     95.66      3.64      0.00      0.45
07:45:17        all      0.38      0.00     93.78      5.23      0.00      0.60
07:45:18        all      0.36      0.00     91.43      7.81      0.00      0.40
07:45:19        all      0.25      0.00     94.52      5.17      0.00      0.06
07:45:20        all      0.15      0.00     98.49      1.27      0.00      0.09
07:45:21        all      0.28      0.00     97.11      2.41      0.00      0.19
07:45:22        all      0.37      0.00     93.14      6.03      0.00      0.46
07:45:23        all      0.26      0.00     97.76      1.73      0.00      0.25
07:45:24        all      0.23      0.00     98.11      1.52      0.00      0.14
07:45:25        all      0.41      0.00     92.77      6.36      0.00      0.46
07:45:26        all      0.28      0.00     96.50      2.87      0.00      0.36
07:45:27        all      0.31      0.00     97.34      2.17      0.00      0.17
07:45:28        all      0.37      0.00     95.79      3.42      0.00      0.42
07:45:29        all      0.39      0.00     90.20      9.05      0.00      0.36
07:45:30        all      0.44      0.00     88.22     10.98      0.00      0.37
07:45:31        all      0.58      0.00     82.95     16.06      0.00      0.42
07:45:32        all      0.37      0.00     85.49     13.02      0.00      1.12
07:45:33        all      0.61      0.00     84.30     14.08      0.00      1.01
07:45:34        all      0.37      0.00     84.75     13.97      0.00      0.91
07:45:35        all      0.48      0.00     84.15     14.24      0.00      1.14
07:45:36        all      0.53      0.00     81.01     17.98      0.00      0.48
07:45:37        all      0.52      0.00     81.25     18.03      0.00      0.21
07:45:38        all      0.53      0.00     75.84     22.85      0.00      0.78
07:45:39        all      0.51      0.00     82.07     16.74      0.00      0.68
07:45:40        all      0.51      0.00     81.95     16.91      0.00      0.62
07:45:41        all      0.59      0.00     81.24     17.25      0.00      0.91
07:45:42        all      0.58      0.00     83.37     15.84      0.00      0.21
07:45:43        all      0.55      0.00     82.92     15.76      0.00      0.78
07:45:44        all      0.52      0.00     79.18     19.90      0.00      0.41
07:45:45        all      0.53      0.00     82.20     16.99      0.00      0.28
07:45:46        all      0.58      0.00     81.65     17.24      0.00      0.53
07:45:47        all      0.62      0.00     83.17     15.60      0.00      0.62
07:45:48        all      0.58      0.00     83.07     16.07      0.00      0.29
07:45:49        all      0.58      0.00     82.96     16.29      0.00      0.17
07:45:50        all      0.65      0.00     79.07     19.37      0.00      0.91
07:45:51        all      0.46      0.00     81.54     17.84      0.00      0.15
07:45:52        all      0.46      0.00     81.21     17.86      0.00      0.47
07:45:53        all      0.59      0.00     81.84     17.43      0.00      0.14
07:45:54        all      0.51      0.00     81.96     17.10      0.00      0.42
07:45:55        all      0.58      0.00     83.88     14.77      0.00      0.76
07:45:56        all      0.79      0.00     81.05     16.73      0.00      1.43
07:45:57        all      0.60      0.00     81.37     13.72      0.00      4.30
07:45:58        all      0.56      0.00     84.63      8.24      0.00      6.57
07:45:59        all      0.42      0.00     85.36      6.41      0.00      7.81
07:46:00        all      0.03      0.00     89.91      1.05      0.00      9.01
07:46:01        all      0.05      0.00     90.75      0.60      0.00      8.60
07:46:02        all      0.07      0.00     88.96      0.61      0.00     10.36
07:46:03        all      0.07      0.00     83.94      0.59      0.00     15.39
07:46:04        all      0.00      0.00     69.40      0.16      0.00     30.44
07:46:05        all      0.01      0.00     49.60      0.00      0.00     50.39


Average:        all      0.29      0.00     92.41      4.58      0.00      2.72
