Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 108875776, 26582, 7585.71
1, 215085056, 25930, 38509.00
2, 337412096, 29865, 33413.72
3, 474333184, 33428, 29841.13
4, 605745152, 32083, 31100.22
5, 788529152, 46022, 21654.78
6, 788529152, 4756, 210184.15
7, 788529152, 8082, 123662.52
