Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 82546688, 20154, 7872.11
1, 586358784, 123001, 8062.98
2, 1115791360, 129256, 7670.56
3, 1493807104, 92289, 10769.64
4, 1833394176, 82907, 11995.82
5, 2227425280, 96199, 10328.36
6, 2373197824, 35589, 29089.57
7, 2383863808, 2604, 460068.17
8, 2385973248, 515, 2664792.16
9, 2452480000, 16237, 24933.79
10, 2615447552, 39787, 24786.08
11, 2795261952, 43900, 23042.85
12, 2962800640, 40903, 23950.08
13, 3142815744, 43949, 22684.09
14, 3299823616, 38332, 26194.35
15, 3479433216, 43850, 22585.91
16, 3637178368, 38512, 26094.15
17, 3816194048, 43705, 22640.07
18, 3989942272, 42419, 23502.32
19, 4165693440, 42908, 23377.78
20, 4344901632, 43752, 22755.01
21, 4536274944, 46722, 21398.21
22, 4733427712, 48133, 20558.96
23, 4865814528, 32321, 31188.12
24, 5001871360, 33217, 30487.29
25, 5121871872, 29297, 33435.09
26, 5263478784, 34572, 29060.40
27, 5439959040, 43086, 22876.66
28, 5572472832, 32352, 30911.47
29, 5730316288, 38536, 25891.70
30, 5908959232, 43614, 22737.10
31, 6092374016, 44779, 22363.89
32, 6212165632, 29246, 34729.81
33, 6367027200, 37808, 26424.81
34, 6501076992, 32727, 29904.96
35, 6633385984, 32302, 31304.17
36, 6777696256, 35232, 28273.81
37, 6914445312, 33386, 29609.73
38, 7057354752, 34890, 28555.25
39, 7191715840, 32803, 31069.33
40, 7312728064, 29544, 33518.64
41, 7446122496, 32567, 31063.26
42, 7573614592, 31126, 31576.56
43, 7715389440, 34613, 29126.10
44, 7851515904, 33234, 29732.81
45, 7979941888, 31354, 31246.17
46, 8121511936, 34563, 29518.37
47, 8273104896, 37010, 26456.46
48, 8430030848, 38312, 26141.80
49, 8584699904, 37761, 26281.07
50, 8769961984, 45230, 22145.95
51, 8937009152, 40783, 24201.19
52, 9097576448, 39201, 25463.25
53, 9293787136, 47903, 20918.62
54, 9461673984, 40988, 24379.05
55, 9635221504, 42370, 23475.88
56, 9663676416, 15572, 64145.67
57, 9663676416, 11856, 83969.71
58, 9663676416, 12536, 79276.81
59, 9663676416, 15640, 63844.27
60, 9663676416, 13760, 72801.83
61, 9663676416, 16504, 60173.91
62, 9663676416, 17912, 57201.99
63, 9663676416, 20424, 48836.87
64, 9663676416, 21680, 45007.76
65, 9663676416, 20968, 46971.59
66, 9663676416, 19880, 51017.96
67, 9663676416, 19800, 49468.74
68, 9663676416, 22640, 44260.40
69, 9663676416, 25920, 38143.51
70, 9663676416, 27264, 36520.58
71, 9663676416, 27920, 35812.91
72, 9663676416, 26776, 37164.24
73, 9663676416, 24610, 40305.96
74, 9663676416, 24774, 40204.81
75, 9663676416, 23344, 42712.80
76, 9663676416, 23192, 43211.82
77, 9663676416, 23672, 42092.70
78, 9663676416, 22840, 43425.82
79, 9663676416, 24272, 40852.65
80, 9663676416, 22152, 44981.19
81, 9663676416, 23760, 42102.44
82, 9663676416, 18008, 54933.79
83, 9663676416, 26104, 38156.08
84, 9663676416, 26272, 38099.25
85, 9663676416, 26592, 37263.18
86, 9663676416, 26945, 36958.41
87, 9663676416, 23695, 42320.47
88, 9663676416, 23248, 42663.21
89, 9663676416, 19248, 51517.50
90, 9663676416, 24560, 40546.01
91, 9663676416, 20472, 48640.40
92, 9663676416, 20279, 49176.92
93, 9663676416, 24341, 40933.90
94, 9663676416, 26156, 38302.78
95, 9663676416, 26736, 37189.94
96, 9663676416, 25584, 38734.26
97, 9663676416, 25079, 39724.14
